"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","sample_location"
792,"3-hydroxy-8-methoxy-3-methyl-1,2,3,4,7,12-hexahydrotetraphene-1,7,12-trione","C20 H16 O5",3.18,336.10084,337.10812,14.926,"sc007"
43,"3-hydroxy-8-methoxy-3-methyl-1,2,3,4,7,12-hexahydrotetraphene-1,7,12-trione","C20 H16 O5",3.09,336.10081,337.1081,14.332,"sc008"
43,"3-hydroxy-8-methoxy-3-methyl-1,2,3,4,7,12-hexahydrotetraphene-1,7,12-trione","C20 H16 O5",3.09,336.10081,337.1081,14.332,"sc016"
43,"3-hydroxy-8-methoxy-3-methyl-1,2,3,4,7,12-hexahydrotetraphene-1,7,12-trione","C20 H16 O5",3.09,336.10081,337.1081,14.332,"sc020"
1786,"3-methyl-5-phenylpyridazine","C11 H10 N2",0.26,170.08444,171.09172,13.741,"sc002"
1786,"3-methyl-5-phenylpyridazine","C11 H10 N2",0.26,170.08444,171.09172,13.741,"sc004"
1786,"3-methyl-5-phenylpyridazine","C11 H10 N2",0.26,170.08444,171.09172,13.741,"sc008"
1786,"3-methyl-5-phenylpyridazine","C11 H10 N2",0.26,170.08444,171.09172,13.741,"sc014"
1786,"3-methyl-5-phenylpyridazine","C11 H10 N2",0.26,170.08444,171.09172,13.741,"sc015"
1786,"3-methyl-5-phenylpyridazine","C11 H10 N2",0.26,170.08444,171.09172,13.741,"sc016"
1786,"3-methyl-5-phenylpyridazine","C11 H10 N2",0.26,170.08444,171.09172,13.741,"sc020"
1786,"3-methyl-5-phenylpyridazine","C11 H10 N2",0.26,170.08444,171.09172,13.741,"sc023"
7489,"3-{2-[Di(propan-2-yl)amino]ethyl}-1H-indol-4-ol","C16 H24 N2 O",0.42,260.18897,261.19625,9.317,"sc007"
7489,"3-{2-[Di(propan-2-yl)amino]ethyl}-1H-indol-4-ol","C16 H24 N2 O",0.42,260.18897,261.19625,9.317,"sc010"
7489,"3-{2-[Di(propan-2-yl)amino]ethyl}-1H-indol-4-ol","C16 H24 N2 O",0.42,260.18897,261.19625,9.317,"sc018"
4980,"3a-hydroxy-3-(hydroxymethyl)-1,1,3,5-tetramethyl-octahydro-1H-indene-4-carboxylic acid","C15 H26 O4",0.76,270.18331,293.17258,14.919,"sc003"
4980,"3a-hydroxy-3-(hydroxymethyl)-1,1,3,5-tetramethyl-octahydro-1H-indene-4-carboxylic acid","C15 H26 O4",0.76,270.18331,293.17258,14.919,"sc004"
4980,"3a-hydroxy-3-(hydroxymethyl)-1,1,3,5-tetramethyl-octahydro-1H-indene-4-carboxylic acid","C15 H26 O4",0.76,270.18331,293.17258,14.919,"sc007"
4980,"3a-hydroxy-3-(hydroxymethyl)-1,1,3,5-tetramethyl-octahydro-1H-indene-4-carboxylic acid","C15 H26 O4",0.76,270.18331,293.17258,14.919,"sc010"
4980,"3a-hydroxy-3-(hydroxymethyl)-1,1,3,5-tetramethyl-octahydro-1H-indene-4-carboxylic acid","C15 H26 O4",0.76,270.18331,293.17258,14.919,"sc015"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"sc002"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"sc003"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"sc004"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"sc007"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"sc008"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"sc009"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"sc013"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"sc014"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"sc015"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"sc016"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"sc020"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"sc023"
2248,"4'-Hydroxydiclofenac","C14 H11 Cl2 N O3",0.58,311.01178,312.01907,15.674,"sc007"
5110,"4,17beta-Dihydroxy-4-androstene-3-one","C19 H28 O3",0.57,304.20402,305.2113,16.925,"sc007"
3118,"4,4'-Dihydroxydiphenylsulfone","C12 H10 O4 S",0.37,250.03007,251.03735,10.666,"sc003"
3118,"4,4'-Dihydroxydiphenylsulfone","C12 H10 O4 S",0.37,250.03007,251.03735,10.666,"sc007"
3118,"4,4'-Dihydroxydiphenylsulfone","C12 H10 O4 S",0.37,250.03007,251.03735,10.666,"sc016"
6606,"4,4'-Oxydianiline","C12 H12 N2 O",0.06,200.09497,201.10225,6.935,"sc003"
6606,"4,4'-Oxydianiline","C12 H12 N2 O",0.06,200.09497,201.10225,6.935,"sc004"
2756,"4,5-Methylenedioxy-2-aminoindane","C10 H11 N O2",0.32,177.07904,178.08631,5.983,"sc002"
4821,"4,5-Methylenedioxy-2-aminoindane","C10 H11 N O2",-1.25,177.07876,178.08631,9.527,"sc009"
2756,"4,5-Methylenedioxy-2-aminoindane","C10 H11 N O2",0.32,177.07904,178.08631,5.983,"sc023"
4884,"4,6-Dimethyl-2(1H)-pyrimidinone","C6 H8 N2 O",1,124.06379,125.07106,5.074,"sc007"
4314,"4,6-Dimethyl-2(1H)-pyrimidinone","C6 H8 N2 O",1.07,124.0638,125.07107,2.325,"sc009"
4314,"4,6-Dimethyl-2(1H)-pyrimidinone","C6 H8 N2 O",1.07,124.0638,125.07107,2.325,"sc013"
4314,"4,6-Dimethyl-2(1H)-pyrimidinone","C6 H8 N2 O",1.07,124.0638,125.07107,2.325,"sc020"
8345,"4,6-dimethyl-2,7-diphenyl-3,7-dihydro-2H-pyrazolo[3,4-b]pyridin-3-one","C20 H17 N3 O",-3.92,315.13593,316.1432,14.311,"sc001"
4956,"4,7,8-trimethoxyfuro[2,3-b]quinoline","C14 H13 N O4",4.07,259.08551,260.09279,9.976,"sc010"
6681,"4-((4Z,6E)-5,7-Dimethyl-2,3-dihydro-1H-1,4-diazepin-6-yl)morpholine","C11 H19 N3 O",-0.06,209.1528,210.16008,8.107,"sc003"
6681,"4-((4Z,6E)-5,7-Dimethyl-2,3-dihydro-1H-1,4-diazepin-6-yl)morpholine","C11 H19 N3 O",-0.06,209.1528,210.16008,8.107,"sc008"
6681,"4-((4Z,6E)-5,7-Dimethyl-2,3-dihydro-1H-1,4-diazepin-6-yl)morpholine","C11 H19 N3 O",-0.06,209.1528,210.16008,8.107,"sc016"
6681,"4-((4Z,6E)-5,7-Dimethyl-2,3-dihydro-1H-1,4-diazepin-6-yl)morpholine","C11 H19 N3 O",-0.06,209.1528,210.16008,8.107,"sc023"
53,"4-(1H-imidazol-1-yl)benzoic acid","C10 H8 N2 O2",0.29,188.05863,189.06591,7.741,"sc003"
53,"4-(1H-imidazol-1-yl)benzoic acid","C10 H8 N2 O2",0.29,188.05863,189.06591,7.741,"sc004"
53,"4-(1H-imidazol-1-yl)benzoic acid","C10 H8 N2 O2",0.29,188.05863,189.06591,7.741,"sc007"
8206,"4-(1H-imidazol-1-yl)benzoic acid","C10 H8 N2 O2",0.23,188.05862,189.0659,2.984,"sc013"
53,"4-(1H-imidazol-1-yl)benzoic acid","C10 H8 N2 O2",0.29,188.05863,189.06591,7.741,"sc020"
7305,"4-(2,3-dihydro-1H-indol-1-yl)-1-phenyl-1H-pyrazolo[3,4-d]pyrimidine","C19 H15 N5",-3.71,313.13158,314.13886,6.905,"sc004"
4442,"4-(3-Methyl-5-oxo-4,5-dihydro-1H-pyrazol-1-yl)benzoic acid","C11 H10 N2 O3",0.43,218.06924,219.07651,6.051,"sc003"
4442,"4-(3-Methyl-5-oxo-4,5-dihydro-1H-pyrazol-1-yl)benzoic acid","C11 H10 N2 O3",0.43,218.06924,219.07651,6.051,"sc005"
4442,"4-(3-Methyl-5-oxo-4,5-dihydro-1H-pyrazol-1-yl)benzoic acid","C11 H10 N2 O3",0.43,218.06924,219.07651,6.051,"sc014"
4442,"4-(3-Methyl-5-oxo-4,5-dihydro-1H-pyrazol-1-yl)benzoic acid","C11 H10 N2 O3",0.43,218.06924,219.07651,6.051,"sc015"
4707,"4-(3-Methyl-5-oxo-4,5-dihydro-1H-pyrazol-1-yl)benzoic acid","C11 H10 N2 O3",0.42,218.06923,219.07651,9.745,"sc020"
4442,"4-(3-Methyl-5-oxo-4,5-dihydro-1H-pyrazol-1-yl)benzoic acid","C11 H10 N2 O3",0.43,218.06924,219.07651,6.051,"sc023"
462,"4-(4,5-dihydro-1H-imidazol-2-yl)-2,6-dimethylmorpholine hydrobromide","C9 H17 N3 O",0.36,183.13723,184.14451,8.582,"sc003"
462,"4-(4,5-dihydro-1H-imidazol-2-yl)-2,6-dimethylmorpholine hydrobromide","C9 H17 N3 O",0.36,183.13723,184.14451,8.582,"sc004"
462,"4-(4,5-dihydro-1H-imidazol-2-yl)-2,6-dimethylmorpholine hydrobromide","C9 H17 N3 O",0.36,183.13723,184.14451,8.582,"sc007"
462,"4-(4,5-dihydro-1H-imidazol-2-yl)-2,6-dimethylmorpholine hydrobromide","C9 H17 N3 O",0.36,183.13723,184.14451,8.582,"sc008"
462,"4-(4,5-dihydro-1H-imidazol-2-yl)-2,6-dimethylmorpholine hydrobromide","C9 H17 N3 O",0.36,183.13723,184.14451,8.582,"sc014"
462,"4-(4,5-dihydro-1H-imidazol-2-yl)-2,6-dimethylmorpholine hydrobromide","C9 H17 N3 O",0.36,183.13723,184.14451,8.582,"sc015"
462,"4-(4,5-dihydro-1H-imidazol-2-yl)-2,6-dimethylmorpholine hydrobromide","C9 H17 N3 O",0.36,183.13723,184.14451,8.582,"sc016"
462,"4-(4,5-dihydro-1H-imidazol-2-yl)-2,6-dimethylmorpholine hydrobromide","C9 H17 N3 O",0.36,183.13723,184.14451,8.582,"sc020"
462,"4-(4,5-dihydro-1H-imidazol-2-yl)-2,6-dimethylmorpholine hydrobromide","C9 H17 N3 O",0.36,183.13723,184.14451,8.582,"sc023"
2514,"4-(Benzyloxy)-N'-hydroxybenzenecarboximidamide","C14 H14 N2 O2",0.29,242.1056,243.11291,14.149,"sc002"
2514,"4-(Benzyloxy)-N'-hydroxybenzenecarboximidamide","C14 H14 N2 O2",0.29,242.1056,243.11291,14.149,"sc008"
3360,"4-(methylthio)-6-phenyl-2-(3-pyridyl)pyrimidine-5-carbonitrile","C17 H12 N4 S",-3.66,304.07715,305.08443,1.247,"sc004"
3360,"4-(methylthio)-6-phenyl-2-(3-pyridyl)pyrimidine-5-carbonitrile","C17 H12 N4 S",-3.66,304.07715,305.08443,1.247,"sc007"
3360,"4-(methylthio)-6-phenyl-2-(3-pyridyl)pyrimidine-5-carbonitrile","C17 H12 N4 S",-3.66,304.07715,305.08443,1.247,"sc013"
3360,"4-(methylthio)-6-phenyl-2-(3-pyridyl)pyrimidine-5-carbonitrile","C17 H12 N4 S",-3.66,304.07715,305.08443,1.247,"sc014"
3360,"4-(methylthio)-6-phenyl-2-(3-pyridyl)pyrimidine-5-carbonitrile","C17 H12 N4 S",-3.66,304.07715,305.08443,1.247,"sc015"
1037,"4-(tert-butyl)phenyl 3,5-dimethylisoxazole-4-carboxylate","C16 H19 N O3",-2.86,273.13571,274.14296,11.246,"sc003"
1037,"4-(tert-butyl)phenyl 3,5-dimethylisoxazole-4-carboxylate","C16 H19 N O3",-2.86,273.13571,274.14296,11.246,"sc004"
1037,"4-(tert-butyl)phenyl 3,5-dimethylisoxazole-4-carboxylate","C16 H19 N O3",-2.86,273.13571,274.14296,11.246,"sc014"
1037,"4-(tert-butyl)phenyl 3,5-dimethylisoxazole-4-carboxylate","C16 H19 N O3",-2.86,273.13571,274.14296,11.246,"sc015"
1037,"4-(tert-butyl)phenyl 3,5-dimethylisoxazole-4-carboxylate","C16 H19 N O3",-2.86,273.13571,274.14296,11.246,"sc020"
1037,"4-(tert-butyl)phenyl 3,5-dimethylisoxazole-4-carboxylate","C16 H19 N O3",-2.86,273.13571,274.14296,11.246,"sc023"
6442,"4-Acetamidoantipyrine","C13 H15 N3 O2",0.57,245.11657,246.12384,9.459,"sc023"
2778,"4-Amino-2-pyrazin-2-ylpyrimidine-5-carbonitrile","C9 H6 N6",1.7,198.06573,199.07301,19.073,"sc003"
2778,"4-Amino-2-pyrazin-2-ylpyrimidine-5-carbonitrile","C9 H6 N6",1.7,198.06573,199.07301,19.073,"sc004"
2778,"4-Amino-2-pyrazin-2-ylpyrimidine-5-carbonitrile","C9 H6 N6",1.7,198.06573,199.07301,19.073,"sc007"
2778,"4-Amino-2-pyrazin-2-ylpyrimidine-5-carbonitrile","C9 H6 N6",1.7,198.06573,199.07301,19.073,"sc020"
2896,"4-Amino-5-[5-(3,4-dichlorophenyl)-1H-pyrazol-3-yl]-2,6-dimethyl-2,3-dihydropyridazin-3-one","C15 H13 Cl2 N5 O",-4.54,349.04813,350.05541,10.344,"sc003"
2896,"4-Amino-5-[5-(3,4-dichlorophenyl)-1H-pyrazol-3-yl]-2,6-dimethyl-2,3-dihydropyridazin-3-one","C15 H13 Cl2 N5 O",-4.54,349.04813,350.05541,10.344,"sc004"
2896,"4-Amino-5-[5-(3,4-dichlorophenyl)-1H-pyrazol-3-yl]-2,6-dimethyl-2,3-dihydropyridazin-3-one","C15 H13 Cl2 N5 O",-4.54,349.04813,350.05541,10.344,"sc007"
2896,"4-Amino-5-[5-(3,4-dichlorophenyl)-1H-pyrazol-3-yl]-2,6-dimethyl-2,3-dihydropyridazin-3-one","C15 H13 Cl2 N5 O",-4.54,349.04813,350.05541,10.344,"sc008"
2896,"4-Amino-5-[5-(3,4-dichlorophenyl)-1H-pyrazol-3-yl]-2,6-dimethyl-2,3-dihydropyridazin-3-one","C15 H13 Cl2 N5 O",-4.54,349.04813,350.05541,10.344,"sc020"
8055,"4-Aminoazobenzene","C12 H11 N3",0.03,197.0953,198.10258,8.974,"sc015"
6292,"4-Aminotetrahydrobiopterin","C9 H16 N6 O2",1.47,240.13383,241.1411,14.497,"sc003"
6292,"4-Aminotetrahydrobiopterin","C9 H16 N6 O2",1.47,240.13383,241.1411,14.497,"sc007"
3943,"4-Aminotetrahydrobiopterin","C9 H16 N6 O2",1.56,240.13385,241.14113,12.619,"sc009"
7599,"4-Aminotetrahydrobiopterin","C9 H16 N6 O2",1.59,240.13386,241.14113,16.714,"sc010"
6292,"4-Aminotetrahydrobiopterin","C9 H16 N6 O2",1.47,240.13383,241.1411,14.497,"sc012"
4165,"4-Aminotetrahydrobiopterin","C9 H16 N6 O2",1.5,240.13383,241.1411,9.246,"sc015"
4165,"4-Aminotetrahydrobiopterin","C9 H16 N6 O2",1.5,240.13383,241.1411,9.246,"sc016"
6292,"4-Aminotetrahydrobiopterin","C9 H16 N6 O2",1.47,240.13383,241.1411,14.497,"sc017"
6292,"4-Aminotetrahydrobiopterin","C9 H16 N6 O2",1.47,240.13383,241.1411,14.497,"sc018"
5927,"4-Aminotetrahydrobiopterin","C9 H16 N6 O2",1.51,240.13384,241.14111,9.46,"sc020"
2750,"4-Androstenediol","C19 H30 O2",0.5,290.22473,291.23202,21.565,"sc002"
2750,"4-Androstenediol","C19 H30 O2",0.5,290.22473,291.23202,21.565,"sc003"
2750,"4-Androstenediol","C19 H30 O2",0.5,290.22473,291.23202,21.565,"sc005"
2750,"4-Androstenediol","C19 H30 O2",0.5,290.22473,291.23202,21.565,"sc007"
2750,"4-Androstenediol","C19 H30 O2",0.5,290.22473,291.23202,21.565,"sc008"
1121,"4-Androstenediol","C19 H30 O2",0.54,290.22474,291.23201,17.365,"sc013"
1531,"4-Androstenediol","C19 H30 O2",0.61,290.22476,291.23203,19.892,"sc014"
2750,"4-Androstenediol","C19 H30 O2",0.5,290.22473,291.23202,21.565,"sc020"
2750,"4-Androstenediol","C19 H30 O2",0.5,290.22473,291.23202,21.565,"sc023"
2546,"4-Dimethylaminocinnamaldehyde","C11 H13 N O",0.32,175.09977,176.10705,7.011,"sc009"
8499,"4-Epianhydrotetracycline_BTM04992","C22 H24 N2 O7",-0.12,428.1583,429.16558,14.729,"sc015"
1777,"4-Guanidinobutyric acid","C5 H11 N3 O2",0.61,145.08521,146.09249,1.3,"sc005"
1777,"4-Guanidinobutyric acid","C5 H11 N3 O2",0.61,145.08521,146.09249,1.3,"sc010"
1777,"4-Guanidinobutyric acid","C5 H11 N3 O2",0.61,145.08521,146.09249,1.3,"sc011"
1777,"4-Guanidinobutyric acid","C5 H11 N3 O2",0.61,145.08521,146.09249,1.3,"sc013"
1777,"4-Guanidinobutyric acid","C5 H11 N3 O2",0.61,145.08521,146.09249,1.3,"sc014"
1777,"4-Guanidinobutyric acid","C5 H11 N3 O2",0.61,145.08521,146.09249,1.3,"sc023"
7354,"4-HO-MET","C13 H18 N2 O",0.37,218.14199,219.14927,6.658,"sc014"
7354,"4-HO-MET","C13 H18 N2 O",0.37,218.14199,219.14927,6.658,"sc015"
8229,"4-HO-MET","C13 H18 N2 O",0.28,218.14197,219.14925,9.01,"sc016"
9442,"4-HO-MiPT","C14 H20 N2 O",0.36,232.15765,233.16492,8.194,"sc016"
8792,"4-HO-MiPT","C14 H20 N2 O",0.44,232.15766,233.16494,17.832,"sc020"
8792,"4-HO-MiPT","C14 H20 N2 O",0.44,232.15766,233.16494,17.832,"sc023"
467,"4-Heptylphenol","C13 H20 O",0.27,192.15147,193.15874,15.875,"sc001"
467,"4-Heptylphenol","C13 H20 O",0.27,192.15147,193.15874,15.875,"sc004"
467,"4-Heptylphenol","C13 H20 O",0.27,192.15147,193.15874,15.875,"sc005"
467,"4-Heptylphenol","C13 H20 O",0.27,192.15147,193.15874,15.875,"sc010"
467,"4-Heptylphenol","C13 H20 O",0.27,192.15147,193.15874,15.875,"sc018"
5317,"4-Hydroxyandrostenedione","C19 H26 O3",0.32,302.18829,303.19552,17.257,"sc002"
3047,"4-Hydroxyandrostenedione","C19 H26 O3",0.46,302.18833,303.1956,14.342,"sc003"
2182,"4-Hydroxyandrostenedione","C19 H26 O3",0.54,302.18836,303.19563,13.998,"sc004"
4417,"4-Hydroxybenzoic acid","C7 H6 O3",0.7,138.03179,139.03907,20.176,"sc001"
4417,"4-Hydroxybenzoic acid","C7 H6 O3",0.7,138.03179,139.03907,20.176,"sc002"
4417,"4-Hydroxybenzoic acid","C7 H6 O3",0.7,138.03179,139.03907,20.176,"sc003"
4417,"4-Hydroxybenzoic acid","C7 H6 O3",0.7,138.03179,139.03907,20.176,"sc004"
4417,"4-Hydroxybenzoic acid","C7 H6 O3",0.7,138.03179,139.03907,20.176,"sc005"
4417,"4-Hydroxybenzoic acid","C7 H6 O3",0.7,138.03179,139.03907,20.176,"sc008"
4417,"4-Hydroxybenzoic acid","C7 H6 O3",0.7,138.03179,139.03907,20.176,"sc009"
4417,"4-Hydroxybenzoic acid","C7 H6 O3",0.7,138.03179,139.03907,20.176,"sc010"
4417,"4-Hydroxybenzoic acid","C7 H6 O3",0.7,138.03179,139.03907,20.176,"sc011"
4417,"4-Hydroxybenzoic acid","C7 H6 O3",0.7,138.03179,139.03907,20.176,"sc013"
4417,"4-Hydroxybenzoic acid","C7 H6 O3",0.7,138.03179,139.03907,20.176,"sc017"
4417,"4-Hydroxybenzoic acid","C7 H6 O3",0.7,138.03179,139.03907,20.176,"sc018"
4417,"4-Hydroxybenzoic acid","C7 H6 O3",0.7,138.03179,139.03907,20.176,"sc020"
4417,"4-Hydroxybenzoic acid","C7 H6 O3",0.7,138.03179,139.03907,20.176,"solution"
7352,"4-Hydroxybenzophenone","C13 H10 O2",0.03,198.06809,199.07536,14.187,"sc010"
7352,"4-Hydroxybenzophenone","C13 H10 O2",0.03,198.06809,199.07536,14.187,"sc018"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"sc001"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"sc002"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"sc003"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"sc004"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"sc005"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"sc007"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"sc009"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"sc010"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"sc011"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"sc012"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"sc013"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"sc014"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"sc016"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"sc017"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"sc018"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"sc020"
3383,"4-Methoxycinnamic acid","C10 H10 O3",0.31,178.06305,179.07033,20.872,"sc014"
742,"4-Methylbenzotriazole","C7 H7 N3",0.69,133.06409,134.07136,10.851,"sc004"
630,"4-Methylbenzotriazole","C7 H7 N3",0.66,133.06409,134.07136,10.93,"sc007"
742,"4-Methylbenzotriazole","C7 H7 N3",0.69,133.06409,134.07136,10.851,"sc008"
630,"4-Methylbenzotriazole","C7 H7 N3",0.66,133.06409,134.07136,10.93,"sc014"
630,"4-Methylbenzotriazole","C7 H7 N3",0.66,133.06409,134.07136,10.93,"sc015"
630,"4-Methylbenzotriazole","C7 H7 N3",0.66,133.06409,134.07136,10.93,"sc016"
630,"4-Methylbenzotriazole","C7 H7 N3",0.66,133.06409,134.07136,10.93,"sc020"
5473,"4-Methylumbelliferone","C10 H8 O3",1.58,176.04762,177.05467,12.165,"sc007"
4147,"4-Methylumbelliferone","C10 H8 O3",0.34,176.0474,177.05468,14.915,"sc008"
4147,"4-Methylumbelliferone","C10 H8 O3",0.34,176.0474,177.05468,14.915,"sc010"
4147,"4-Methylumbelliferone","C10 H8 O3",0.34,176.0474,177.05468,14.915,"sc012"
4147,"4-Methylumbelliferone","C10 H8 O3",0.34,176.0474,177.05468,14.915,"sc020"
8748,"4-Morpholinepropanesulfonic acid","C7 H15 N O4 S",3.3,209.07287,210.08015,9.931,"sc005"
5398,"4-Nitrobiphenyl","C12 H9 N O2",0.06,199.06334,200.07061,7.64,"sc009"
5956,"4-Nitrobiphenyl","C12 H9 N O2",0.18,199.06336,200.07064,10.217,"sc013"
2304,"4-Nitrobiphenyl","C12 H9 N O2",0.64,199.06346,217.09725,13.731,"sc014"
2304,"4-Nitrobiphenyl","C12 H9 N O2",0.64,199.06346,217.09725,13.731,"sc015"
2304,"4-Nitrobiphenyl","C12 H9 N O2",0.64,199.06346,217.09725,13.731,"sc023"
8154,"4-Nitrophenylgalactoside","C12 H15 N O8",2.45,301.0805,302.08778,5.85,"sc003"
8154,"4-Nitrophenylgalactoside","C12 H15 N O8",2.45,301.0805,302.08778,5.85,"sc004"
8154,"4-Nitrophenylgalactoside","C12 H15 N O8",2.45,301.0805,302.08778,5.85,"sc016"
8154,"4-Nitrophenylgalactoside","C12 H15 N O8",2.45,301.0805,302.08778,5.85,"sc020"
6411,"4-Nitrosodiphenylamine","C12 H10 N2 O",0.16,198.07934,199.08662,8.699,"sc003"
6411,"4-Nitrosodiphenylamine","C12 H10 N2 O",0.16,198.07934,199.08662,8.699,"sc004"
1379,"4-Oxosebacic Acid","C10 H16 O5",0.4,216.09986,217.10714,13.548,"sc001"
1379,"4-Oxosebacic Acid","C10 H16 O5",0.4,216.09986,217.10714,13.548,"sc002"
1379,"4-Oxosebacic Acid","C10 H16 O5",0.4,216.09986,217.10714,13.548,"sc003"
1379,"4-Oxosebacic Acid","C10 H16 O5",0.4,216.09986,217.10714,13.548,"sc004"
3066,"4-Oxosebacic Acid","C10 H16 O5",0.44,216.09987,239.08909,9.533,"sc010"
3066,"4-Oxosebacic Acid","C10 H16 O5",0.44,216.09987,239.08909,9.533,"sc015"
3066,"4-Oxosebacic Acid","C10 H16 O5",0.44,216.09987,239.08909,9.533,"sc020"
3066,"4-Oxosebacic Acid","C10 H16 O5",0.44,216.09987,239.08909,9.533,"sc023"
6194,"4-Piperidinecarboxamide","C6 H12 N2 O",0.85,128.09507,129.10235,1.215,"sc001"
6194,"4-Piperidinecarboxamide","C6 H12 N2 O",0.85,128.09507,129.10235,1.215,"sc002"
6194,"4-Piperidinecarboxamide","C6 H12 N2 O",0.85,128.09507,129.10235,1.215,"sc003"
6194,"4-Piperidinecarboxamide","C6 H12 N2 O",0.85,128.09507,129.10235,1.215,"sc010"
6194,"4-Piperidinecarboxamide","C6 H12 N2 O",0.85,128.09507,129.10235,1.215,"sc017"
6194,"4-Piperidinecarboxamide","C6 H12 N2 O",0.85,128.09507,129.10235,1.215,"sc020"
8441,"4-[(2-thienylmethylidene)amino]benzoic acid","C12 H9 N O2 S",4.63,231.03647,232.04375,10.432,"sc010"
6559,"4-[3,5-di(tert-butyl)-1H-pyrazol-1-yl]benzoic acid","C18 H24 N2 O2",0.39,300.18389,301.19117,18.701,"sc004"
6559,"4-[3,5-di(tert-butyl)-1H-pyrazol-1-yl]benzoic acid","C18 H24 N2 O2",0.39,300.18389,301.19117,18.701,"sc007"
6559,"4-[3,5-di(tert-butyl)-1H-pyrazol-1-yl]benzoic acid","C18 H24 N2 O2",0.39,300.18389,301.19117,18.701,"sc009"
4274,"4-aminophthalhydrazide","C8 H7 N3 O2",0.31,177.05388,178.06116,4.624,"sc007"
6748,"4-aminophthalhydrazide","C8 H7 N3 O2",0.34,177.05389,178.06116,6.342,"sc020"
3470,"4-heptyl-3-methyl-1H-pyrazol-5-ol","C11 H20 N2 O",0.15,196.15759,197.16487,11.339,"sc003"
6822,"4-heptyl-3-methyl-1H-pyrazol-5-ol","C11 H20 N2 O",0.12,196.15759,197.16486,10.194,"sc004"
6822,"4-heptyl-3-methyl-1H-pyrazol-5-ol","C11 H20 N2 O",0.12,196.15759,197.16486,10.194,"sc008"
3470,"4-heptyl-3-methyl-1H-pyrazol-5-ol","C11 H20 N2 O",0.15,196.15759,197.16487,11.339,"sc015"
3470,"4-heptyl-3-methyl-1H-pyrazol-5-ol","C11 H20 N2 O",0.15,196.15759,197.16487,11.339,"sc016"
6822,"4-heptyl-3-methyl-1H-pyrazol-5-ol","C11 H20 N2 O",0.12,196.15759,197.16486,10.194,"sc020"
3470,"4-heptyl-3-methyl-1H-pyrazol-5-ol","C11 H20 N2 O",0.15,196.15759,197.16487,11.339,"sc023"
8234,"4-hydroperoxy-2-methoxy-phenol","C7 H8 O4",0.43,156.04233,157.0496,9.962,"sc011"
2911,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole","C11 H12 O3",0.21,192.07868,193.08597,16.692,"sc004"
2911,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole","C11 H12 O3",0.21,192.07868,193.08597,16.692,"sc014"
707,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole","C11 H12 O3",0.27,192.0787,193.08597,16.059,"sc020"
