"peak_number","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","mass_list_name","mass_list_match"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc005_1",10574285.7456997,8.4,"1","sc005","kps_psychoactive_substances_v2","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc005_1",10574285.7456997,8.4,"1","sc005","kps_pharmaceuticals_oct22","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc005_2",7475283.14120671,8.4,"2","sc005","kps_psychoactive_substances_v2","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc005_2",7475283.14120671,8.4,"2","sc005","kps_pharmaceuticals_oct22","Multiple matches found"
1921,"17-Methyltestosterone","C20 H30 O2","Full match","Partial match","Full match",0.16,302.22463,303.23202,18.877,4929176.13594183,15,92.7,79.5,"DDA for preferred ion","[M+H]+1","sc005_1",1096563.91640551,7,"1","sc005","kps_psychoactive_substances_v2","Multiple matches found"
1921,"17-Methyltestosterone","C20 H30 O2","Full match","Partial match","Full match",0.16,302.22463,303.23202,18.877,4929176.13594183,15,92.7,79.5,"DDA for preferred ion","[M+H]+1","sc005_1",1096563.91640551,7,"1","sc005","kps_pharmaceuticals_oct22","Multiple matches found"
3042,"17-Methyltestosterone","C20 H30 O2","Full match","Not the top hit","Full match",0.55,302.22475,303.23202,17.318,3133014.85418124,12,89.6,82.1,"DDA for preferred ion","[M+H]+1","sc005_2",237812.475217194,5.2,"2","sc005","kps_psychoactive_substances_v2","Multiple matches found"
3042,"17-Methyltestosterone","C20 H30 O2","Full match","Not the top hit","Full match",0.55,302.22475,303.23202,17.318,3133014.85418124,12,89.6,82.1,"DDA for preferred ion","[M+H]+1","sc005_2",237812.475217194,5.2,"2","sc005","kps_pharmaceuticals_oct22","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc007_1",3003300.37630767,8.9,"1","sc007","kps_psychoactive_substances_v2","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc007_1",3003300.37630767,8.9,"1","sc007","kps_pharmaceuticals_oct22","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc007_2",2302268.03757564,8.4,"2","sc007","kps_psychoactive_substances_v2","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc007_2",2302268.03757564,8.4,"2","sc007","kps_pharmaceuticals_oct22","Multiple matches found"
1652,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Not the top hit","Full match",0.65,302.22478,303.23205,17.442,5606005.83662256,15,92.3,83.2,"DDA for preferred ion","[M+H]+1","sc007_1",5606005.83662256,5.1,"1","sc007","kps_psychoactive_substances_v2","Multiple matches found"
1652,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Not the top hit","Full match",0.65,302.22478,303.23205,17.442,5606005.83662256,15,92.3,83.2,"DDA for preferred ion","[M+H]+1","sc007_1",5606005.83662256,5.1,"1","sc007","kps_pharmaceuticals_oct22","Multiple matches found"
1652,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Not the top hit","Full match",0.65,302.22478,303.23205,17.442,5606005.83662256,15,92.3,83.2,"DDA for preferred ion","[M+H]+1","sc007_2",5575153.07049394,7.3,"2","sc007","kps_psychoactive_substances_v2","Multiple matches found"
1652,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Not the top hit","Full match",0.65,302.22478,303.23205,17.442,5606005.83662256,15,92.3,83.2,"DDA for preferred ion","[M+H]+1","sc007_2",5575153.07049394,7.3,"2","sc007","kps_pharmaceuticals_oct22","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc008_1",990166.695408181,6.4,"1","sc008","kps_psychoactive_substances_v2","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc008_1",990166.695408181,6.4,"1","sc008","kps_pharmaceuticals_oct22","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc008_2",804542.618483157,7.5,"2","sc008","kps_psychoactive_substances_v2","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc008_2",804542.618483157,7.5,"2","sc008","kps_pharmaceuticals_oct22","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc013_1",816908.192937226,8.6,"1","sc013","kps_psychoactive_substances_v2","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc013_1",816908.192937226,8.6,"1","sc013","kps_pharmaceuticals_oct22","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc013_2",811928.106701072,8.6,"2","sc013","kps_psychoactive_substances_v2","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc013_2",811928.106701072,8.6,"2","sc013","kps_pharmaceuticals_oct22","Multiple matches found"
1652,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Not the top hit","Full match",0.65,302.22478,303.23205,17.442,5606005.83662256,15,92.3,83.2,"DDA for preferred ion","[M+H]+1","sc013_1",935802.224097775,5.3,"1","sc013","kps_psychoactive_substances_v2","Multiple matches found"
1652,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Not the top hit","Full match",0.65,302.22478,303.23205,17.442,5606005.83662256,15,92.3,83.2,"DDA for preferred ion","[M+H]+1","sc013_1",935802.224097775,5.3,"1","sc013","kps_pharmaceuticals_oct22","Multiple matches found"
1652,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Not the top hit","Full match",0.65,302.22478,303.23205,17.442,5606005.83662256,15,92.3,83.2,"DDA for preferred ion","[M+H]+1","sc013_2",1145809.84392843,5.3,"2","sc013","kps_psychoactive_substances_v2","Multiple matches found"
1652,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Not the top hit","Full match",0.65,302.22478,303.23205,17.442,5606005.83662256,15,92.3,83.2,"DDA for preferred ion","[M+H]+1","sc013_2",1145809.84392843,5.3,"2","sc013","kps_pharmaceuticals_oct22","Multiple matches found"
1921,"17-Methyltestosterone","C20 H30 O2","Full match","Partial match","Full match",0.16,302.22463,303.23202,18.877,4929176.13594183,15,92.7,79.5,"DDA for preferred ion","[M+H]+1","sc013_1",3262562.93935759,7.3,"1","sc013","kps_psychoactive_substances_v2","Multiple matches found"
1921,"17-Methyltestosterone","C20 H30 O2","Full match","Partial match","Full match",0.16,302.22463,303.23202,18.877,4929176.13594183,15,92.7,79.5,"DDA for preferred ion","[M+H]+1","sc013_1",3262562.93935759,7.3,"1","sc013","kps_pharmaceuticals_oct22","Multiple matches found"
1921,"17-Methyltestosterone","C20 H30 O2","Full match","Partial match","Full match",0.16,302.22463,303.23202,18.877,4929176.13594183,15,92.7,79.5,"DDA for preferred ion","[M+H]+1","sc013_2",4070717.79267777,5.7,"2","sc013","kps_psychoactive_substances_v2","Multiple matches found"
1921,"17-Methyltestosterone","C20 H30 O2","Full match","Partial match","Full match",0.16,302.22463,303.23202,18.877,4929176.13594183,15,92.7,79.5,"DDA for preferred ion","[M+H]+1","sc013_2",4070717.79267777,5.7,"2","sc013","kps_pharmaceuticals_oct22","Multiple matches found"
3749,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Not the top hit","Full match",0.46,302.22472,303.23199,17.914,2546876.1977788,11,88.8,81.6,"DDA for preferred ion","[M+H]+1","sc013_1",2546876.1977788,5.7,"1","sc013","kps_psychoactive_substances_v2","Multiple matches found"
3749,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Not the top hit","Full match",0.46,302.22472,303.23199,17.914,2546876.1977788,11,88.8,81.6,"DDA for preferred ion","[M+H]+1","sc013_1",2546876.1977788,5.7,"1","sc013","kps_pharmaceuticals_oct22","Multiple matches found"
3749,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Not the top hit","Full match",0.46,302.22472,303.23199,17.914,2546876.1977788,11,88.8,81.6,"DDA for preferred ion","[M+H]+1","sc013_2",2498379.01053193,6.2,"2","sc013","kps_psychoactive_substances_v2","Multiple matches found"
3749,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Not the top hit","Full match",0.46,302.22472,303.23199,17.914,2546876.1977788,11,88.8,81.6,"DDA for preferred ion","[M+H]+1","sc013_2",2498379.01053193,6.2,"2","sc013","kps_pharmaceuticals_oct22","Multiple matches found"
4553,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Partial match","Full match",0.57,302.22475,303.23203,18.061,2071373.69241228,11,87.4,80.5,"DDA for preferred ion","[M+H]+1","sc013_1",1885596.45237388,8.4,"1","sc013","kps_psychoactive_substances_v2","Multiple matches found"
4553,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Partial match","Full match",0.57,302.22475,303.23203,18.061,2071373.69241228,11,87.4,80.5,"DDA for preferred ion","[M+H]+1","sc013_1",1885596.45237388,8.4,"1","sc013","kps_pharmaceuticals_oct22","Multiple matches found"
5435,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Partial match","Full match",0.48,302.22472,303.232,17.593,1628653.78416897,11,88.1,81,"DDA for preferred ion","[M+H]+1","sc013_2",1432986.39013139,6.4,"2","sc013","kps_psychoactive_substances_v2","Multiple matches found"
5435,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Partial match","Full match",0.48,302.22472,303.232,17.593,1628653.78416897,11,88.1,81,"DDA for preferred ion","[M+H]+1","sc013_2",1432986.39013139,6.4,"2","sc013","kps_pharmaceuticals_oct22","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc014_1",3000565.40035638,9.5,"1","sc014","kps_psychoactive_substances_v2","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc014_1",3000565.40035638,9.5,"1","sc014","kps_pharmaceuticals_oct22","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc014_2",3440423.01799655,8.9,"2","sc014","kps_psychoactive_substances_v2","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc014_2",3440423.01799655,8.9,"2","sc014","kps_pharmaceuticals_oct22","Multiple matches found"
3651,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Not the top hit","Full match",0.28,302.22466,303.23194,19.607,2615385.68819063,11,90,82.4,"DDA for preferred ion","[M+H]+1","sc014_1",2615385.68819063,5.7,"1","sc014","kps_psychoactive_substances_v2","Multiple matches found"
3651,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Not the top hit","Full match",0.28,302.22466,303.23194,19.607,2615385.68819063,11,90,82.4,"DDA for preferred ion","[M+H]+1","sc014_1",2615385.68819063,5.7,"1","sc014","kps_pharmaceuticals_oct22","Multiple matches found"
3651,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Not the top hit","Full match",0.28,302.22466,303.23194,19.607,2615385.68819063,11,90,82.4,"DDA for preferred ion","[M+H]+1","sc014_2",2549967.32403884,5.7,"2","sc014","kps_psychoactive_substances_v2","Multiple matches found"
3651,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Not the top hit","Full match",0.28,302.22466,303.23194,19.607,2615385.68819063,11,90,82.4,"DDA for preferred ion","[M+H]+1","sc014_2",2549967.32403884,5.7,"2","sc014","kps_pharmaceuticals_oct22","Multiple matches found"
3749,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Not the top hit","Full match",0.46,302.22472,303.23199,17.914,2546876.1977788,11,88.8,81.6,"DDA for preferred ion","[M+H]+1","sc014_2",1716898.04504536,5.1,"2","sc014","kps_psychoactive_substances_v2","Multiple matches found"
3749,"17-Methyltestosterone","C20 H30 O2","Not the top hit","Not the top hit","Full match",0.46,302.22472,303.23199,17.914,2546876.1977788,11,88.8,81.6,"DDA for preferred ion","[M+H]+1","sc014_2",1716898.04504536,5.1,"2","sc014","kps_pharmaceuticals_oct22","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc023_1",1223989.59051506,8.6,"1","sc023","kps_psychoactive_substances_v2","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc023_1",1223989.59051506,8.6,"1","sc023","kps_pharmaceuticals_oct22","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc023_2",1071361.10899347,8.6,"2","sc023","kps_psychoactive_substances_v2","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc023_2",1071361.10899347,8.6,"2","sc023","kps_pharmaceuticals_oct22","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc15_1",612988.425529364,6.6,"1","sc15","kps_psychoactive_substances_v2","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc15_1",612988.425529364,6.6,"1","sc15","kps_pharmaceuticals_oct22","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc15_2",672829.283417653,8.3,"2","sc15","kps_psychoactive_substances_v2","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc15_2",672829.283417653,8.3,"2","sc15","kps_pharmaceuticals_oct22","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc16_2",356510.396907633,7.7,"2","sc16","kps_psychoactive_substances_v2","Multiple matches found"
801,"17-Methyltestosterone","C20 H30 O2","Full match","Invalid mass","Full match",0.35,302.22469,303.23199,21.055,10574285.7456997,2,82.4,9.1,"DDA for preferred ion","[M+H]+1","sc16_2",356510.396907633,7.7,"2","sc16","kps_pharmaceuticals_oct22","Multiple matches found"
1921,"17-Methyltestosterone","C20 H30 O2","Full match","Partial match","Full match",0.16,302.22463,303.23202,18.877,4929176.13594183,15,92.7,79.5,"DDA for preferred ion","[M+H]+1","sc16_2",702278.788660304,5.3,"2","sc16","kps_psychoactive_substances_v2","Multiple matches found"
1921,"17-Methyltestosterone","C20 H30 O2","Full match","Partial match","Full match",0.16,302.22463,303.23202,18.877,4929176.13594183,15,92.7,79.5,"DDA for preferred ion","[M+H]+1","sc16_2",702278.788660304,5.3,"2","sc16","kps_pharmaceuticals_oct22","Multiple matches found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc003_1",26510070.7594852,8.4,"1","sc003","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc003_2",27082207.0968068,8.4,"2","sc003","kps_pharmaceuticals_oct22","Single match found"
1759,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.51,272.17777,273.18502,18.773,5280153.5717676,4,96.3,86.7,"DDA for preferred ion","[M+H]+1","sc003_1",2261411.23351334,6.2,"1","sc003","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc004_1",46248625.2309241,8.4,"1","sc004","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc004_2",45626920.7464776,8.4,"2","sc004","kps_pharmaceuticals_oct22","Single match found"
1759,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.51,272.17777,273.18502,18.773,5280153.5717676,4,96.3,86.7,"DDA for preferred ion","[M+H]+1","sc004_1",5280153.5717676,7.8,"1","sc004","kps_pharmaceuticals_oct22","Single match found"
1759,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.51,272.17777,273.18502,18.773,5280153.5717676,4,96.3,86.7,"DDA for preferred ion","[M+H]+1","sc004_2",4486106.51284931,7.3,"2","sc004","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc007_1",27375619.2441031,8.4,"1","sc007","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc007_2",26524343.9505578,8.4,"2","sc007","kps_pharmaceuticals_oct22","Single match found"
1256,"17beta-Estradiol","C18 H24 O2","Not the top hit","Partial match","Full match",0.35,272.17772,273.18499,17.827,7123277.90606997,4,69,8.5,"DDA for preferred ion","[M+H]+1","sc007_2",4665299.38915398,5.7,"2","sc007","kps_pharmaceuticals_oct22","Single match found"
1759,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.51,272.17777,273.18502,18.773,5280153.5717676,4,96.3,86.7,"DDA for preferred ion","[M+H]+1","sc007_1",3431837.38199302,6.7,"1","sc007","kps_pharmaceuticals_oct22","Single match found"
1759,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.51,272.17777,273.18502,18.773,5280153.5717676,4,96.3,86.7,"DDA for preferred ion","[M+H]+1","sc007_2",3101959.94285246,7.3,"2","sc007","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc008_1",15043917.5848183,8.9,"1","sc008","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc008_2",15762484.4246423,8.4,"2","sc008","kps_pharmaceuticals_oct22","Single match found"
853,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.28,272.17771,273.18498,18.355,10033175.1460962,4,97.4,89.6,"DDA for preferred ion","[M+H]+1","sc008_1",4200575.8390731,5.7,"1","sc008","kps_pharmaceuticals_oct22","Single match found"
1759,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.51,272.17777,273.18502,18.773,5280153.5717676,4,96.3,86.7,"DDA for preferred ion","[M+H]+1","sc008_1",1784588.00204288,7.8,"1","sc008","kps_pharmaceuticals_oct22","Single match found"
1759,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.51,272.17777,273.18502,18.773,5280153.5717676,4,96.3,86.7,"DDA for preferred ion","[M+H]+1","sc008_2",2179375.47930644,7.3,"2","sc008","kps_pharmaceuticals_oct22","Single match found"
3493,"17beta-Estradiol","C18 H24 O2","Not the top hit","Partial match","Full match",0.52,272.17777,273.18502,19.13,2725831.73325194,3,66.4,8.3,"DDA for preferred ion","[M+H]+1","sc008_1",1511441.63025589,7.5,"1","sc008","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc009_1",1647234.28018501,5.1,"1","sc009","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc009_2",1881388.96207691,5.7,"2","sc009","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc010_1",692780.624353076,8,"1","sc010","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc010_2",794652.889478144,5.3,"2","sc010","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc012_1",2339808.49325826,8.4,"1","sc012","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc012_2",2410307.76014383,8.4,"2","sc012","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc013_1",2499191.39262607,6.7,"1","sc013","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc013_2",2312035.18245287,6.2,"2","sc013","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc014_1",3948865.29886509,8.4,"1","sc014","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc014_2",4152365.55452401,8.9,"2","sc014","kps_pharmaceuticals_oct22","Single match found"
853,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.28,272.17771,273.18498,18.355,10033175.1460962,4,97.4,89.6,"DDA for preferred ion","[M+H]+1","sc014_1",10033175.1460962,6.7,"1","sc014","kps_pharmaceuticals_oct22","Single match found"
853,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.28,272.17771,273.18498,18.355,10033175.1460962,4,97.4,89.6,"DDA for preferred ion","[M+H]+1","sc014_2",9545034.77820344,6.7,"2","sc014","kps_pharmaceuticals_oct22","Single match found"
1256,"17beta-Estradiol","C18 H24 O2","Not the top hit","Partial match","Full match",0.35,272.17772,273.18499,17.827,7123277.90606997,4,69,8.5,"DDA for preferred ion","[M+H]+1","sc014_2",3372470.42024806,6.2,"2","sc014","kps_pharmaceuticals_oct22","Single match found"
1759,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.51,272.17777,273.18502,18.773,5280153.5717676,4,96.3,86.7,"DDA for preferred ion","[M+H]+1","sc014_2",1235094.71110131,6.4,"2","sc014","kps_pharmaceuticals_oct22","Single match found"
3493,"17beta-Estradiol","C18 H24 O2","Not the top hit","Partial match","Full match",0.52,272.17777,273.18502,19.13,2725831.73325194,3,66.4,8.3,"DDA for preferred ion","[M+H]+1","sc014_2",1772558.80620293,7.3,"2","sc014","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc020_1",17056686.6684942,8.4,"1","sc020","kps_pharmaceuticals_oct22","Single match found"
123,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.35,272.17773,273.18498,18.959,46248625.2309241,4,98.7,95,"DDA for preferred ion","[M+H]+1","sc020_2",17654347.2104896,8.4,"2","sc020","kps_pharmaceuticals_oct22","Single match found"
853,"17beta-Estradiol","C18 H24 O2","Full match","Partial match","Full match",0.28,272.17771,273.18498,18.355,10033175.1460962,4,97.4,89.6,"DDA for preferred ion","[M+H]+1","sc020_1",6593345.78729065,5.1,"1","sc020","kps_pharmaceuticals_oct22","Single match found"
