"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","mass_list_name","palapye wwtp surface water","kasane wwtp (main) surface water","kasane wwtp (overflow) surface water","maun wwtp (main) waste water","maun wwtp (overflow) surface water","palapye wwtp (eff) waste water","francistown wwtp surface water","ghanzi wwtp surface water","glen valley (reclamation) surface water","glen valley (recreational) surface water","kasane (recreational) surface water","maun beach (before) surface water","maun beach (after) surface water","lecheng stream surface water","lecheng spring surface water","lotsane dam surface water","kasane (main) surface water","mogobane dam surface water","maru-a-pula surface water"
3097,"3-hydroxy-4-(3-hydroxyphenyl)-1,2-dihydroquinolin-2-one","C15 H11 N O3",0.39,253.07399,254.08126,11.405,"mz_cloud",3085864.6863715,1842220.30140768,NA,1427490.36645085,NA,2681197.51672236,1530229.01938453,525526.675917737,1858323.74979485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
792,"3-hydroxy-8-methoxy-3-methyl-1,2,3,4,7,12-hexahydrotetraphene-1,7,12-trione","C20 H16 O5",3.18,336.10084,337.10812,14.926,"mz_cloud",NA,NA,NA,NA,NA,2475400.83524978,10623168.9206262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"3-hydroxy-8-methoxy-3-methyl-1,2,3,4,7,12-hexahydrotetraphene-1,7,12-trione","C20 H16 O5",3.09,336.10081,337.1081,14.332,"mz_cloud",14053513.4532059,2546205.55014988,NA,NA,NA,NA,NA,13075913.1626774,13704221.075807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1786,"3-methyl-5-phenylpyridazine","C11 H10 N2",0.26,170.08444,171.09172,13.741,"mz_cloud",867929.249698337,423692.893084428,NA,5001284.04354229,2720597.4193378,NA,NA,549436.055957791,1062760.5857696,2897534.09618481,NA,NA,NA,NA,266378.634320644,NA,NA,NA,NA
7489,"3-{2-[Di(propan-2-yl)amino]ethyl}-1H-indol-4-ol","C16 H24 N2 O",0.42,260.18897,261.19625,9.317,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,813159.466663567,NA,NA,NA,NA,NA,NA,NA,NA,NA,861999.583321026,NA,887523.754261816
4980,"3a-hydroxy-3-(hydroxymethyl)-1,1,3,5-tetramethyl-octahydro-1H-indene-4-carboxylic acid","C15 H26 O4",0.76,270.18331,293.17258,14.919,"mz_cloud",1408750.34225689,NA,NA,NA,856259.830649561,1526159.17407144,1200920.04279142,NA,NA,NA,NA,NA,NA,NA,NA,NA,1843706.49268787,NA,NA
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"kps_psychoactive_substances_v2",29660433.0589186,1932642.05871764,540992.467093695,14626583.7082123,920093.772070808,26615679.7589015,5356078.19438059,467560.254455606,2569210.49688901,1700117.01582617,NA,NA,711714.874825655,NA,6150060.93663603,NA,NA,NA,NA
2248,"4'-Hydroxydiclofenac","C14 H11 Cl2 N O3",0.58,311.01178,312.01907,15.674,"mz_cloud",NA,NA,NA,NA,NA,NA,4268897.02030849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5110,"4,17beta-Dihydroxy-4-androstene-3-one","C19 H28 O3",0.57,304.20402,305.2113,16.925,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,1060474.27062999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3118,"4,4'-Dihydroxydiphenylsulfone","C12 H10 O4 S",0.37,250.03007,251.03735,10.666,"mz_cloud",NA,NA,NA,NA,NA,444697.957889565,3068527.60315334,2912443.3866216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6606,"4,4'-Oxydianiline","C12 H12 N2 O",0.06,200.09497,201.10225,6.935,"mz_cloud",1198511.21176598,NA,NA,NA,NA,768048.498332834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2756,"4,5-Methylenedioxy-2-aminoindane","C10 H11 N O2",0.32,177.07904,178.08631,5.983,"itn_kps",NA,NA,NA,NA,NA,NA,NA,NA,NA,1639887.23208319,NA,NA,NA,NA,805358.538515227,NA,NA,NA,NA
4821,"4,5-Methylenedioxy-2-aminoindane","C10 H11 N O2",-1.25,177.07876,178.08631,9.527,"itn_kps",NA,NA,1913949.37550194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4884,"4,6-Dimethyl-2(1H)-pyrimidinone","C6 H8 N2 O",1,124.06379,125.07106,5.074,"mz_cloud",NA,NA,NA,NA,NA,NA,1887075.73543879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4314,"4,6-Dimethyl-2(1H)-pyrimidinone","C6 H8 N2 O",1.07,124.0638,125.07107,2.325,"mz_cloud",NA,NA,845354.875260612,NA,NA,NA,NA,NA,1318874.17446094,NA,NA,NA,1684737.67214722,NA,NA,NA,NA,NA,NA
8345,"4,6-dimethyl-2,7-diphenyl-3,7-dihydro-2H-pyrazolo[3,4-b]pyridin-3-one","C20 H17 N3 O",-3.92,315.13593,316.1432,14.311,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594383.065536417,NA,NA,NA,NA,NA
4956,"4,7,8-trimethoxyfuro[2,3-b]quinoline","C14 H13 N O4",4.07,259.08551,260.09279,9.976,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1495927.62379447,NA,NA
6681,"4-((4Z,6E)-5,7-Dimethyl-2,3-dihydro-1H-1,4-diazepin-6-yl)morpholine","C11 H19 N3 O",-0.06,209.1528,210.16008,8.107,"mz_cloud",NA,581426.292276389,NA,NA,NA,793460.948593649,NA,138888.860959224,NA,438096.294707467,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"4-(1H-imidazol-1-yl)benzoic acid","C10 H8 N2 O2",0.29,188.05863,189.06591,7.741,"mz_cloud",12429096.7794207,NA,NA,NA,NA,8751313.19324783,86069213.5282094,NA,3413112.89428092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8206,"4-(1H-imidazol-1-yl)benzoic acid","C10 H8 N2 O2",0.23,188.05862,189.0659,2.984,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,672093.432150493,NA,NA,NA,NA,NA,NA
7305,"4-(2,3-dihydro-1H-indol-1-yl)-1-phenyl-1H-pyrazolo[3,4-d]pyrimidine","C19 H15 N5",-3.71,313.13158,314.13886,6.905,"mz_cloud",979050.894228622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4442,"4-(3-Methyl-5-oxo-4,5-dihydro-1H-pyrazol-1-yl)benzoic acid","C11 H10 N2 O3",0.43,218.06924,219.07651,6.051,"mz_cloud",NA,NA,NA,2071038.81212712,1854469.29078726,379320.777451489,NA,NA,NA,1492361.1963723,NA,NA,NA,NA,NA,153529.420279582,NA,NA,NA
4707,"4-(3-Methyl-5-oxo-4,5-dihydro-1H-pyrazol-1-yl)benzoic acid","C11 H10 N2 O3",0.42,218.06923,219.07651,9.745,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,1462795.92450057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
462,"4-(4,5-dihydro-1H-imidazol-2-yl)-2,6-dimethylmorpholine hydrobromide","C9 H17 N3 O",0.36,183.13723,184.14451,8.582,"mz_cloud",16068537.2694528,6808852.9454647,NA,13155722.2781518,10151428.82089,11773067.1992619,4572769.64401414,1448375.42766567,4227657.32469062,4767062.59000666,NA,NA,NA,NA,NA,NA,NA,NA,NA
2514,"4-(Benzyloxy)-N'-hydroxybenzenecarboximidamide","C14 H14 N2 O2",0.29,242.1056,243.11291,14.149,"mz_cloud",NA,495469.680882086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491486.375390171,NA,NA,NA,NA
3360,"4-(methylthio)-6-phenyl-2-(3-pyridyl)pyrimidine-5-carbonitrile","C17 H12 N4 S",-3.66,304.07715,305.08443,1.247,"mz_cloud",694590.19927016,NA,NA,1995239.88609522,1051889.13306555,NA,755561.305594416,NA,NA,NA,NA,NA,2835425.94262138,NA,NA,NA,NA,NA,NA
1037,"4-(tert-butyl)phenyl 3,5-dimethylisoxazole-4-carboxylate","C16 H19 N O3",-2.86,273.13571,274.14296,11.246,"mz_cloud",7136798.60160518,NA,NA,3293360.00491886,6161153.84033435,6245851.37689885,NA,NA,3065180.91311696,3769832.90192633,NA,NA,NA,NA,NA,NA,NA,NA,NA
6442,"4-Acetamidoantipyrine","C13 H15 N3 O2",0.57,245.11657,246.12384,9.459,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,586695.353177005,NA,NA,NA,NA,NA,NA,NA,NA,NA
2778,"4-Amino-2-pyrazin-2-ylpyrimidine-5-carbonitrile","C9 H6 N6",1.7,198.06573,199.07301,19.073,"mz_cloud",3153365.35255898,NA,NA,NA,NA,2365522.83970474,3421972.32501723,NA,1382731.56012548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2896,"4-Amino-5-[5-(3,4-dichlorophenyl)-1H-pyrazol-3-yl]-2,6-dimethyl-2,3-dihydropyridazin-3-one","C15 H13 Cl2 N5 O",-4.54,349.04813,350.05541,10.344,"mz_cloud",2702351.97826223,737258.399776114,NA,NA,NA,2147432.35443729,3305670.74590469,NA,1433940.1123005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8055,"4-Aminoazobenzene","C12 H11 N3",0.03,197.0953,198.10258,8.974,"mz_cloud",NA,NA,NA,NA,694121.401564637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6292,"4-Aminotetrahydrobiopterin","C9 H16 N6 O2",1.47,240.13383,241.1411,14.497,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,879985.641324115,1004534.09656906,NA,NA,NA,NA,329838.391699079,NA,NA,NA,NA,NA,869398.342592008,1305964.97491251
3943,"4-Aminotetrahydrobiopterin","C9 H16 N6 O2",1.56,240.13385,241.14113,12.619,"kps_pharmaceuticals_oct22",NA,NA,2421165.5618608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7599,"4-Aminotetrahydrobiopterin","C9 H16 N6 O2",1.59,240.13386,241.14113,16.714,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,895616.091459606,NA,NA
4165,"4-Aminotetrahydrobiopterin","C9 H16 N6 O2",1.5,240.13383,241.1411,9.246,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,1889109.41229201,NA,NA,735564.423540672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5927,"4-Aminotetrahydrobiopterin","C9 H16 N6 O2",1.51,240.13384,241.14111,9.46,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,1171588.16545953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2750,"4-Androstenediol","C19 H30 O2",0.5,290.22473,291.23202,21.565,"kps_psychoactive_substances_v2",NA,621296.084410828,NA,NA,NA,532546.9350283,2202277.60931317,NA,282801.310341615,370422.832371816,NA,NA,NA,NA,1361470.35489126,211392.85860157,NA,NA,NA
1121,"4-Androstenediol","C19 H30 O2",0.54,290.22474,291.23201,17.365,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7387672.6086153,NA,NA,NA,NA,NA,NA
1531,"4-Androstenediol","C19 H30 O2",0.61,290.22476,291.23203,19.892,"kps_psychoactive_substances_v2",NA,NA,NA,4102255.97689742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2546,"4-Dimethylaminocinnamaldehyde","C11 H13 N O",0.32,175.09977,176.10705,7.011,"mz_cloud",NA,NA,3406076.19315802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8499,"4-Epianhydrotetracycline_BTM04992","C22 H24 N2 O7",-0.12,428.1583,429.16558,14.729,"itn_cyp_metabolites",NA,NA,NA,NA,616487.439157906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1777,"4-Guanidinobutyric acid","C5 H11 N3 O2",0.61,145.08521,146.09249,1.3,"mz_cloud",NA,NA,NA,5217070.29515553,NA,NA,NA,NA,NA,754744.981970192,112273.016739005,NA,123803.700574963,NA,NA,163473.278465055,143076.751657639,NA,NA
7354,"4-HO-MET","C13 H18 N2 O",0.37,218.14199,219.14927,6.658,"kps_psychoactive_substances_v2",NA,NA,NA,927026.714427269,966378.686281449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8229,"4-HO-MET","C13 H18 N2 O",0.28,218.14197,219.14925,9.01,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,NA,214110.310158327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9442,"4-HO-MiPT","C14 H20 N2 O",0.36,232.15765,233.16492,8.194,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,NA,269096.541823003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8792,"4-HO-MiPT","C14 H20 N2 O",0.44,232.15766,233.16494,17.832,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,NA,NA,487462.886192978,526347.431974468,NA,NA,NA,NA,NA,NA,NA,NA,NA
467,"4-Heptylphenol","C13 H20 O",0.27,192.15147,193.15874,15.875,"kps_pharmaceuticals_oct22",3035215.49221261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2523642.00644961,NA,3678585.04885432,1407489.57289196,NA,954626.936644454
5317,"4-Hydroxyandrostenedione","C19 H26 O3",0.32,302.18829,303.19552,17.257,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516501.493003459,NA,NA,NA,NA
3047,"4-Hydroxyandrostenedione","C19 H26 O3",0.46,302.18833,303.1956,14.342,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,2793705.77749399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2182,"4-Hydroxyandrostenedione","C19 H26 O3",0.54,302.18836,303.19563,13.998,"kps_pharmaceuticals_oct22",3262712.41845336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4417,"4-Hydroxybenzoic acid","C7 H6 O3",0.7,138.03179,139.03907,20.176,"kps_pharmaceuticals_oct22",1351846.89614958,1494474.09400807,1434963.32402322,NA,NA,1472029.97258934,NA,NA,1375783.80788343,NA,1644818.56670047,NA,1752469.81854197,1523237.2603446,1472437.02338002,1439913.81730579,1295900.38746376,1431344.91976286,1251260.53948223
7352,"4-Hydroxybenzophenone","C13 H10 O2",0.03,198.06809,199.07536,14.187,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,748916.259833355,NA,650307.798866102
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"kps_psychoactive_substances_v2",1448492.92849077,NA,1022615.19031533,2133120.87885881,NA,1132780.41347204,1757007.41591212,750544.160941799,1942061.72601488,NA,1800305.53262215,584124.607803941,2098731.63467131,558173.310558136,755706.462638047,1313471.31317785,1816134.49681421,612842.256756635,2220800.08767994
3383,"4-Methoxycinnamic acid","C10 H10 O3",0.31,178.06305,179.07033,20.872,"mz_cloud",NA,NA,NA,2725746.33201021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
742,"4-Methylbenzotriazole","C7 H7 N3",0.69,133.06409,134.07136,10.851,"mz_cloud",3232663.69557041,4247967.23783987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
630,"4-Methylbenzotriazole","C7 H7 N3",0.66,133.06409,134.07136,10.93,"mz_cloud",NA,NA,NA,5300750.57763166,3903415.00773317,NA,11805345.5348003,794188.274017793,9367885.70236389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5473,"4-Methylumbelliferone","C10 H8 O3",1.58,176.04762,177.05467,12.165,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,1609976.75803629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4147,"4-Methylumbelliferone","C10 H8 O3",0.34,176.0474,177.05468,14.915,"kps_pharmaceuticals_oct22",NA,2287297.12025639,NA,NA,NA,NA,NA,NA,1142254.18387253,NA,NA,1873140.64306023,NA,NA,NA,NA,1020190.12550295,NA,NA
8748,"4-Morpholinepropanesulfonic acid","C7 H15 N O4 S",3.3,209.07287,210.08015,9.931,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385475.745309973,NA,NA,NA
5398,"4-Nitrobiphenyl","C12 H9 N O2",0.06,199.06334,200.07061,7.64,"kps_pharmaceuticals_oct22",NA,NA,1650071.68853767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5956,"4-Nitrobiphenyl","C12 H9 N O2",0.18,199.06336,200.07064,10.217,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717766.483780709,NA,NA,NA,NA,NA,NA
2304,"4-Nitrobiphenyl","C12 H9 N O2",0.64,199.06346,217.09725,13.731,"kps_pharmaceuticals_oct22",NA,NA,NA,4154589.62718276,2571214.85426592,NA,NA,NA,NA,2483290.3438538,NA,NA,NA,NA,NA,NA,NA,NA,NA
8154,"4-Nitrophenylgalactoside","C12 H15 N O8",2.45,301.0805,302.08778,5.85,"kps_pharmaceuticals_oct22",487548.224220419,NA,NA,NA,NA,670803.492735758,NA,507068.128968761,489947.819270419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6411,"4-Nitrosodiphenylamine","C12 H10 N2 O",0.16,198.07934,199.08662,8.699,"mz_cloud",965985.695976595,NA,NA,NA,NA,1087302.39476971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379,"4-Oxosebacic Acid","C10 H16 O5",0.4,216.09986,217.10714,13.548,"kps_pharmaceuticals_oct22",1649935.36026544,NA,NA,NA,NA,5465591.9252927,NA,NA,NA,NA,NA,NA,NA,6554177.16751822,849671.106402923,NA,NA,NA,NA
3066,"4-Oxosebacic Acid","C10 H16 O5",0.44,216.09987,239.08909,9.533,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,2758253.91275605,NA,NA,NA,2255885.98925968,3119593.9283781,NA,NA,NA,NA,NA,NA,663720.881940859,NA,NA
6194,"4-Piperidinecarboxamide","C6 H12 N2 O",0.85,128.09507,129.10235,1.215,"mz_cloud",NA,NA,NA,NA,NA,636932.331673432,NA,NA,315568.209343327,NA,NA,NA,NA,1327431.34990261,260067.394393859,NA,214611.070524851,259192.95883845,NA
8441,"4-[(2-thienylmethylidene)amino]benzoic acid","C12 H9 N O2 S",4.63,231.03647,232.04375,10.432,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578535.910470017,NA,NA
6559,"4-[3,5-di(tert-butyl)-1H-pyrazol-1-yl]benzoic acid","C18 H24 N2 O2",0.39,300.18389,301.19117,18.701,"mz_cloud",673325.741590142,NA,416495.364113276,NA,NA,NA,1215933.32632588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4274,"4-aminophthalhydrazide","C8 H7 N3 O2",0.31,177.05388,178.06116,4.624,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,2210128.69584418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6748,"4-aminophthalhydrazide","C8 H7 N3 O2",0.34,177.05389,178.06116,6.342,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,761869.810854499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3470,"4-heptyl-3-methyl-1H-pyrazol-5-ol","C11 H20 N2 O",0.15,196.15759,197.16487,11.339,"mz_cloud",NA,NA,NA,NA,2745243.50864353,1056935.81553423,NA,1822086.77479494,NA,765792.268831826,NA,NA,NA,NA,NA,NA,NA,NA,NA
6822,"4-heptyl-3-methyl-1H-pyrazol-5-ol","C11 H20 N2 O",0.12,196.15759,197.16486,10.194,"mz_cloud",826726.91474139,914240.190036134,NA,NA,NA,NA,NA,NA,555791.235753587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8234,"4-hydroperoxy-2-methoxy-phenol","C7 H8 O4",0.43,156.04233,157.0496,9.962,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,493770.08096594,NA,NA,NA,NA,NA,NA,NA,NA
2911,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole","C11 H12 O3",0.21,192.07868,193.08597,16.692,"mz_cloud",1571317.92194336,NA,NA,3282647.3245266,NA,NA,NA,NA,NA,2699337.05607662,NA,NA,NA,NA,NA,NA,NA,NA,NA
707,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole","C11 H12 O3",0.27,192.0787,193.08597,16.059,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,10213722.3092772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6608,"4-methyl-2,3-dihydro-1H-pyrrolo[3,4-c]quinoline-1,3-dione","C12 H8 N2 O2",-0.07,212.05856,213.06584,9.823,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,1198259.27594973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7102,"4-phenylfentanyl","C28 H32 N2 O",-3.09,412.25019,413.25747,23.158,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,1038258.55025029,NA,NA,197926.212912931,NA,NA,NA,NA,NA,NA,NA,NA,NA
8901,"4-phenylfentanyl","C28 H32 N2 O",-2.97,412.25024,413.25752,23.055,"kps_pharmaceuticals_oct22",NA,NA,192275.889431878,NA,NA,NA,NA,269232.597997579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244249.271268476
2797,"4-piperidin-4-ylbutal","C9 H17 N O",0.4,155.13108,156.13835,2.333,"kps_pharmaceuticals_oct22",2709588.85503673,NA,NA,728575.89018566,1148662.13262346,1916822.10582009,1819285.67255425,NA,3004845.98139717,2185714.24915817,NA,NA,NA,NA,NA,NA,1600354.12418753,NA,NA
5908,"4-piperidin-4-ylbutal","C9 H17 N O",0.38,155.13107,156.13835,9.784,"kps_pharmaceuticals_oct22",NA,627428.000281851,NA,NA,NA,NA,NA,181161.339516506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8132,"4-piperidin-4-ylbutal","C9 H17 N O",0.44,155.13108,156.13836,2.783,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725583.303882443
1306,"4-styrylpyridine","C13 H11 N",0.37,181.08922,182.09649,7.396,"mz_cloud",6879863.61995085,NA,NA,NA,354376.768961631,4954834.11494951,NA,NA,3574999.7877107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2326,"4-styrylpyridine","C13 H11 N",0.36,181.08921,182.09649,8.959,"mz_cloud",NA,2014090.92122751,NA,3764542.7344784,NA,NA,563759.257832996,644404.433025004,NA,4123036.49222264,NA,NA,NA,NA,NA,NA,NA,NA,NA
9718,"4-{5-[(3S)-1-Isopropyl-3-pyrrolidinyl]-1,3,4-oxadiazol-2-yl}pyridine","C14 H18 N4 O",-4.97,258.14678,259.15406,16.15,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123224.692184818,NA,NA,NA,NA,NA
4211,"5'-Methylthioadenosine","C11 H15 N5 O3 S",0.52,297.08971,298.09699,6.787,"kps_pharmaceuticals_oct22",2067654.19446383,NA,NA,496939.670942142,NA,2054261.59940128,564103.43232995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7992,"5(Z),8(Z),11(Z)-Eicosatrienoic acid methyl ester","C21 H36 O2",0.46,320.27168,321.27895,19.391,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768755.337599483,NA,NA
2272,"5,6-Benzoflavone","C19 H12 O2",-1.91,272.08321,295.07245,6.916,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,4217648.33845479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6623,"5,6-Dimethyl-3-(3-methyl-1-phenyl-1H-pyrazol-5-yl)-2-thioxo-2,3-dihydrothieno[2,3-d]pyrimidin-4(1H)-one","C18 H16 N4 O S2",0.96,368.07691,369.08418,12.486,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1151757.03851934,NA,NA,NA,NA,NA
2083,"5,6-Dimethylbenzimidazole","C9 H10 N2",0.57,146.08448,147.09176,7.819,"mz_cloud",NA,1104303.33270719,NA,NA,NA,NA,4331722.37889945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8746,"5-(1-Ethyl-3-methyl-1H-pyrazol-5-yl)-4-(3-methoxypropyl)-4H-1,2,4-triazole-3-thiol","C12 H19 N5 O S",-2.01,281.13046,282.13774,15.784,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426496.202477601,NA,NA,428192.357412553,NA,541009.622654066,406038.462342403,233445.342470804,393959.512346021
7981,"5-(2,3-dihydro-1H-inden-5-yl)-2-methyl-7-(trifluoromethyl)pyrazolo[1,5-a]pyrimidine","C17 H14 F3 N3",-4.65,317.11251,318.11978,7.214,"mz_cloud",772048.372137085,NA,NA,NA,NA,721267.704713457,NA,NA,567995.815978482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6319,"5-Aminouracil","C4 H5 N3 O2",0.92,127.03829,128.04557,4.94,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,1208559.3687175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2618,"5-Aminovaleric acid","C5 H11 N O2",1.2,117.07912,118.0864,1.225,"kps_pharmaceuticals_oct22",2079292.12159345,NA,NA,NA,NA,1153300.90799525,963525.721907848,NA,NA,928384.517657419,553193.945998705,NA,NA,692816.669085908,3667186.06220018,395660.698153695,866439.262726328,168188.629775701,336695.372594848
2080,"5-Hydroxy-4-{(2R)-6-hydroxy-5-[(3E)-4-methyl-6-(2,6,6-trimethyl-1-cyclohexen-1-yl)-3-hexen-1-yl]-5,6-dihydro-2H-pyran-2-yl}-2(5H)-furanone","C25 H36 O5",0.15,416.25634,417.26361,16.37,"itn_kps",4576345.95977963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1022,"5-Hydroxymebendazole","C16 H15 N3 O3",0.43,297.11147,298.11874,11.242,"mz_cloud",8223464.02978984,186882.425338725,NA,NA,NA,5817098.19828635,NA,517253.366327262,3494032.31694598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7050,"5-Methoxy-1H-benzimidazole","C8 H8 N2 O",0.55,148.06374,149.07102,3.683,"kps_pharmaceuticals_oct22",NA,NA,954826.062666267,409382.033593757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
