"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","mass_list_name","feedpump","newdry","olddry","centrin","digesterC","digesterA","digesterB","digesterD"
1246,"9-Oxo-10(E),12(E)-octadecadienoic acid","C18 H30 O3",0.5,294.21964,295.22692,20.97,"mz_cloud",NA,NA,NA,NA,2754055.65002561,NA,NA,NA
375,"9-Oxo-10(E),12(E)-octadecadienoic acid","C18 H30 O3",0.29,294.21958,295.22686,20.098,"mz_cloud",68531315.4216382,NA,NA,NA,NA,NA,NA,NA
1541,"9-Oxo-10(E),12(E)-octadecadienoic acid","C18 H30 O3",0.7,294.2197,295.22698,21.161,"mz_cloud",NA,7931965.57923636,NA,NA,NA,NA,NA,NA
1703,"9H-Fluoren-4-yl(piperidino)methanone","C19 H19 N O",0.23,277.14673,278.154,12.931,"mz_cloud",NA,NA,NA,22371481.3166664,26269427.2788458,NA,NA,NA
1269,"9H-Fluoren-4-yl(piperidino)methanone","C19 H19 N O",0.22,277.14673,278.154,17.766,"mz_cloud",NA,26673365.7619483,NA,NA,NA,33028137.5187408,33905478.6178925,NA
1309,"A-836339","C16 H26 N2 O2 S",2.57,310.1723,311.17957,21.307,"mz_cloud",NA,NA,4249892.11821461,41984754.9348923,NA,NA,NA,NA
2583,"A-836339","C16 H26 N2 O2 S",2.58,310.1723,311.17957,21.163,"mz_cloud",NA,NA,NA,NA,6305932.13170445,NA,NA,NA
2296,"A-836339","C16 H26 N2 O2 S",2.48,310.17227,311.17955,21.794,"mz_cloud",7726692.9833177,NA,NA,NA,NA,NA,NA,NA
4906,"AB-001","C24 H31 N O",0.3,349.24067,350.24794,20.591,"kps_cannabinoids",NA,4624567.95726807,NA,NA,NA,NA,NA,NA
2072,"AM-1235","C24 H21 F N2 O3",2.14,404.15449,405.16176,18.694,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,23912324.2128755,NA
813,"APP-FUBINACA","C24 H21 F N4 O2",2.28,416.1658,417.17308,10.246,"kps_cannabinoids",NA,NA,NA,NA,17006015.4441644,NA,NA,NA
670,"APP-FUBINACA","C24 H21 F N4 O2",2.34,416.16583,417.1731,9.551,"kps_cannabinoids",NA,NA,65435006.0758378,NA,NA,NA,NA,NA
3948,"Abexinostat","C21 H23 N3 O5",3.93,397.16533,398.17261,19.42,"kps_pharmaceuticals_oct22",NA,NA,8938912.45871429,NA,NA,NA,NA,NA
911,"Acetanilide","C8 H9 N O",0.44,135.06847,136.07575,10.927,"mz_cloud",59427870.2699912,NA,NA,NA,NA,NA,NA,NA
773,"Acitretin","C21 H26 O3",0.64,326.1884,327.19568,17.413,"kps_pharmaceuticals_oct22",NA,44693244.6798745,NA,9776707.07414382,47280812.3738655,25858890.2622263,54121367.6184724,3687723.12135641
4117,"Agomelatine","C15 H17 N O2",-0.01,243.12593,244.1332,16.758,"kps_pharmaceuticals_oct22",NA,NA,8175408.93165535,NA,NA,NA,NA,NA
1589,"Agroclavine_BTM03062","C16 H18 N2 O",-0.15,254.14187,255.14915,19.686,"itn_cyp_metabolites",NA,NA,NA,NA,NA,33772690.561808,NA,NA
1489,"Agroclavine_BTM03062","C16 H18 N2 O",-0.08,254.14189,255.14917,18.235,"itn_cyp_metabolites",NA,NA,NA,NA,36287541.9476302,NA,NA,NA
2595,"Agroclavine_BTM03062","C16 H18 N2 O",-0.13,254.14188,255.14916,18.588,"itn_cyp_metabolites",NA,1628024.11495444,NA,NA,NA,NA,NA,NA
3419,"Alectinib","C30 H34 N4 O2",0.05,482.2682,483.27548,18.306,"kps_pharmaceuticals_oct22",NA,NA,NA,6471488.74731561,NA,NA,NA,NA
1989,"Alfacalcidol","C27 H44 O2",0.1,400.33417,401.34145,23.72,"kps_pharmaceuticals_oct22",NA,25572538.4650156,20369682.8915674,6796297.6653381,NA,NA,NA,NA
695,"Alfacalcidol","C27 H44 O2",0.09,400.33417,401.34143,22.827,"kps_pharmaceuticals_oct22",21410760.0679847,NA,NA,NA,NA,12761347.4187057,NA,NA
1662,"Alfacalcidol","C27 H44 O2",0.11,400.33418,401.34144,24.505,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,20263348.666953,NA
2014,"Alfacalcidol","C27 H44 O2",0.02,400.33414,401.34142,23.904,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,10350795.7697268
878,"Allopurinol","C5 H4 N4 O",0.99,136.03865,137.04592,2.253,"kps_pharmaceuticals_oct22",61230049.3916168,NA,NA,NA,NA,NA,NA,NA
188,"Allylestrenol","C21 H32 O",0.67,300.24552,318.27935,18.936,"kps_pharmaceuticals_oct22",NA,203814222.26025,NA,110496122.474109,155488739.450541,NA,NA,109679564.441164
288,"Allylestrenol","C21 H32 O",0.66,300.24551,318.27934,19.795,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,50377103.7785689,NA,NA
1079,"Allylestrenol","C21 H32 O",0.42,300.24544,301.25272,22.932,"kps_pharmaceuticals_oct22",40725274.9304335,NA,NA,NA,NA,NA,NA,NA
543,"Allylprodine","C18 H25 N O2",0.23,287.18859,288.19586,17.912,"kps_pharmaceuticals_oct22",99195168.1579749,NA,24103784.3577728,NA,NA,NA,NA,NA
2124,"Allylprodine","C18 H25 N O2",0.3,287.18862,288.19586,17.464,"kps_pharmaceuticals_oct22",NA,4783763.22468748,NA,NA,NA,NA,NA,NA
5208,"Alosetron","C17 H18 N4 O",-3.88,294.14692,295.1542,20.574,"kps_pharmaceuticals_oct22",NA,3134914.28154589,NA,NA,NA,NA,NA,NA
528,"Alpha-Dimorphecolic","C18 H32 O3",0.44,296.23527,297.24255,17.671,"kps_pharmaceuticals_oct22",NA,9991233.20934684,NA,NA,3598357.12948813,5441426.41534175,NA,3018433.56447134
425,"Alpha-Dimorphecolic","C18 H32 O3",0.62,296.23533,297.24252,21.63,"kps_pharmaceuticals_oct22",117326583.551,NA,NA,NA,NA,NA,NA,NA
4066,"Alphaxalone","C21 H32 O3",0.57,332.23533,333.2426,22.111,"kps_psychoactive_substances_v2",NA,NA,NA,5581270.7380198,NA,7350564.21167295,NA,NA
2534,"Alverine","C20 H27 N",0.16,281.21439,282.22167,23.141,"kps_pharmaceuticals_oct22",9783057.48983452,2220564.52804901,7878074.98198176,NA,5439041.85283419,13057026.1983955,18554865.3290156,7428427.70234503
1767,"Amiloride","C6 H8 Cl N7 O",3.71,229.04874,230.05601,10.839,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,19305173.3819366
1318,"Aminorex","C9 H10 N2 O",0.15,162.07934,163.08661,13.145,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,41749043.0063264,37436262.2980439,NA
2021,"Amiodarone","C25 H29 I2 N O3",0.6,645.02407,646.03134,21.242,"kps_pharmaceuticals_oct22",3660551.34819656,24981384.5821962,19035956.085434,11323898.7669309,11615350.5353836,14463056.3816972,16285033.4953041,9440490.49366292
4814,"Amisulpride","C17 H27 N3 O4 S",0.01,369.17223,370.17951,1.268,"kps_pharmaceuticals_oct22",NA,4589690.62075983,NA,NA,NA,NA,NA,NA
1544,"Amisulpride","C17 H27 N3 O4 S",-0.11,369.17219,370.17946,8.277,"kps_pharmaceuticals_oct22",NA,NA,21310171.2980656,NA,NA,NA,NA,NA
148,"Amitriptyline","C20 H23 N",0.13,277.18309,278.19036,18.475,"kps_pharmaceuticals_oct22",93868424.6104269,16478623.4667034,241092999.517991,116316469.241522,296539541.940081,NA,NA,208120796.353424
201,"Amitriptyline","C20 H23 N",0.06,277.18307,278.19034,19.611,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,145908915.928376,235058627.406179,NA
205,"Amorolfine","C21 H35 N O",0.6,317.27206,318.27933,19.36,"kps_pharmaceuticals_oct22",NA,135640762.673464,NA,73463840.5815366,NA,NA,NA,NA
150,"Amorolfine","C21 H35 N O",0.64,317.27207,318.27934,19.875,"kps_pharmaceuticals_oct22",85322959.085818,NA,24557376.951906,NA,142649862.021261,63449920.4816823,70852274.7389419,135945801.360158
2344,"Amylocaine","C14 H21 N O2",-0.02,235.15723,236.1645,17.237,"kps_pharmaceuticals_oct22",NA,7097687.691525,14991732.3986195,NA,11694292.2182964,NA,9576421.87526848,NA
4921,"Anandamide (AEA)","C22 H37 N O2",0.73,347.28268,348.28996,19.918,"mz_cloud",NA,NA,NA,NA,NA,1234226.58730759,NA,NA
2782,"Androsta-1,4-diene-3,17-dione","C19 H24 O2",0.13,284.17767,285.18494,16.356,"kps_psychoactive_substances_v2",NA,12732081.9550495,NA,NA,NA,NA,NA,NA
118,"Antroquinonol","C24 H38 O4",0.03,390.27702,413.26624,24.711,"kps_pharmaceuticals_oct22",338961553.523987,72600642.5397478,77889307.3876719,88436625.3106704,33575454.819402,36113838.7825769,47678497.4959342,69943496.0791142
3196,"Apigenin","C15 H10 O5",-0.04,270.05281,271.06009,16.239,"kps_pharmaceuticals_oct22",11839330.2940264,NA,NA,NA,NA,NA,NA,NA
3341,"Apigenin","C15 H10 O5",-0.01,270.05282,271.0601,13.351,"kps_pharmaceuticals_oct22",NA,NA,5802242.06906566,NA,NA,NA,NA,NA
4215,"Apixaban","C25 H25 N5 O4",-0.02,459.19064,460.19792,14.967,"kps_pharmaceuticals_oct22",NA,4459620.27969196,5700551.25463935,NA,NA,NA,NA,NA
5230,"Arachidonoyl amide","C20 H33 N O",-0.21,303.25615,304.26343,22.766,"mz_cloud",NA,NA,NA,3054551.31522276,NA,NA,NA,NA
3384,"Arachidonoyl amide","C20 H33 N O",0.39,303.25633,304.26361,22.396,"mz_cloud",10224649.1026309,NA,NA,NA,NA,NA,NA,NA
4427,"Atorvastatin","C33 H35 F N2 O5",0.31,558.25317,559.26045,17.875,"kps_pharmaceuticals_oct22",NA,NA,NA,4467000.8977756,6189058.43752652,NA,NA,6212247.23889854
4234,"Atorvastatin","C33 H35 F N2 O5",0.07,558.25304,559.26032,18.665,"kps_pharmaceuticals_oct22",NA,7640318.45809973,NA,NA,NA,NA,NA,NA
2080,"Azithromycin","C38 H72 N2 O12",0.21,748.50868,749.51596,18.928,"itn_kps",NA,3296588.12011236,NA,NA,NA,NA,NA,NA
2649,"Bardoxolone methyl","C32 H43 N O4",-4.77,505.3168,506.32408,22.493,"kps_pharmaceuticals_oct22",NA,NA,5056457.38756328,NA,NA,5475562.89728584,8207269.48923473,14949205.72504
237,"Bencyclane","C19 H31 N O",0.18,289.24062,290.24789,16.595,"kps_pharmaceuticals_oct22",NA,NA,56786582.5278539,189978140.481485,NA,NA,NA,NA
578,"Bencyclane","C19 H31 N O",0.16,289.24061,290.24789,18.964,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,94931696.2176468,NA,NA
303,"Bencyclane","C19 H31 N O",0.19,289.24062,290.2479,14.051,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,74371980.2011982,161672126.324008
371,"Bencyclane","C19 H31 N O",0.11,289.2406,290.24787,18.488,"kps_pharmaceuticals_oct22",NA,23912241.50854,NA,NA,74599890.8963693,NA,NA,NA
3995,"Benoxacor","C11 H11 Cl2 N O2",-3.74,259.01572,260.02299,11.667,"mz_cloud",6335306.94970488,NA,NA,NA,NA,NA,NA,NA
4709,"Benzenesulfinic acid","C6 H6 O2 S",0.36,142.0089,143.01618,22.98,"kps_pharmaceuticals_oct22",NA,NA,2690123.599893,3240895.13721516,NA,NA,3885859.47225535,NA
949,"Benzenesulfonamide","C6 H7 N O2 S",0.13,157.01977,158.02705,15.096,"mz_cloud",NA,NA,NA,7545070.00231713,NA,NA,NA,NA
433,"Benzocaine","C9 H11 N O2",0.22,165.07901,166.08629,4.642,"kps_pharmaceuticals_oct22",122296167.515706,NA,NA,NA,NA,NA,NA,NA
1734,"Benzophenone","C13 H10 O",0.09,182.07318,183.08046,17.18,"kps_pharmaceuticals_oct22",17128323.0762449,9846171.09779999,30597086.0030367,9518096.31580925,10728500.1231173,21479054.4100254,18864606.7278508,NA
2217,"Benzylamine","C7 H9 N",1.4,107.07365,108.08093,1.321,"kps_pharmaceuticals_oct22",NA,NA,NA,8365737.06645147,NA,NA,NA,NA
1051,"Benzylsulfanilamide_BTM04684","C7 H6 O",1.29,106.042,107.04928,20.91,"itn_cyp_metabolites",41087788.7376079,18786533.4763238,13470348.2129252,23111213.9518485,21175304.2266455,22163796.2815251,22469899.5848651,20464748.8429425
280,"Berberine","C20 H17 N O4",0.72,335.116,336.12327,14.448,"mz_cloud",NA,NA,NA,80792699.1784094,NA,NA,NA,NA
233,"Berberine","C20 H17 N O4",0.68,335.11599,336.12326,12.297,"mz_cloud",81341717.153208,116333097.102012,186552959.713994,NA,NA,47173012.3963251,65071872.1771085,NA
3703,"Bestatin/Ubenimex_BTM03524","C16 H22 N2 O4",0.52,306.15812,307.16539,14.2,"itn_cyp_metabolites",NA,NA,NA,NA,6671850.95134349,8375982.81005506,NA,7071296.25260567
3257,"Bevantolol","C20 H27 N O4",0.39,345.19414,346.20142,16.301,"kps_pharmaceuticals_oct22",NA,NA,10940304.6399319,NA,NA,NA,NA,NA
1802,"Bezitramide [INN:BAN:DCF]","C31 H32 N4 O2",-2.78,492.25116,515.24038,21.409,"kps_psychoactive_substances_v2",NA,10563649.3394753,9756117.92399488,12104482.9552829,25346315.5975275,NA,29230292.5511313,9289728.8380765
2749,"Bicifadine","C12 H15 N",0.08,173.12046,174.12774,20.121,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,16497101.3369671,NA,NA
567,"Bifonazole","C22 H18 N2",4.13,310.14828,311.15556,15.737,"kps_pharmaceuticals_oct22",11347199.5953582,NA,77531981.6336464,35121658.0161742,NA,NA,NA,NA
570,"Bifonazole","C22 H18 N2",4.13,310.14828,311.15556,13.265,"kps_pharmaceuticals_oct22",NA,35289175.9540543,NA,NA,41616954.7174075,33404864.1452369,29540951.6225586,35117574.1864492
5552,"Biotin","C10 H16 N2 O3 S",2.55,244.08879,245.09606,20.585,"kps_pharmaceuticals_oct22",NA,NA,954820.25224602,NA,NA,NA,NA,NA
1,"Bis(2-ethylhexyl) amine","C16 H35 N",-0.27,241.27689,242.28416,21.21,"mz_cloud",7440771321.63603,904519866.783522,194794697.710469,1051721561.88166,1386858646.17744,206487729.047441,225845502.770015,1914569370.06768
1345,"Bisindolylmaleimide","C25 H24 N4 O2",-3.35,412.18855,413.19582,10.451,"kps_pharmaceuticals_oct22",18088740.6942324,NA,NA,NA,NA,NA,NA,NA
732,"Boldenone cypionate","C27 H38 O3",0.08,410.28213,411.2894,23.239,"mz_cloud",NA,NA,75121199.4071134,NA,NA,NA,NA,NA
3137,"Boldenone undecylenate","C30 H44 O3",0.01,452.32905,453.33633,22.506,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,11919190.8623217,11738100.833445,NA
2569,"Boldenone undecylenate","C30 H44 O3",0.09,452.32908,453.33636,23.723,"kps_psychoactive_substances_v2",NA,NA,18301473.3854152,NA,NA,NA,NA,NA
3099,"Bombykol","C16 H30 O",0.02,238.22967,239.23695,23.408,"kps_pharmaceuticals_oct22",NA,NA,8522768.39617971,NA,NA,10985516.3844447,NA,NA
1992,"Brivaracetam","C11 H20 N2 O2",-0.08,212.15246,213.15974,12.332,"kps_pharmaceuticals_oct22",25550103.7666834,NA,NA,NA,NA,NA,NA,NA
2195,"Brivaracetam","C11 H20 N2 O2",-0.01,212.15248,213.15975,12.542,"kps_pharmaceuticals_oct22",NA,NA,9765371.14072968,NA,NA,NA,NA,NA
124,"Buthionine Sulfoxime","C8 H18 N2 O3 S",2.8,222.10444,223.11171,18.618,"kps_pharmaceuticals_oct22",12669710.7088772,16554053.9040331,7811597.59749868,32862494.7800905,NA,16258184.2984311,10139601.454315,NA
710,"Buthionine Sulfoxime","C8 H18 N2 O3 S",2.92,222.10446,223.11174,17.9,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,22794336.7716701,NA,NA,NA
4265,"Butorphanol","C21 H29 N O2",0.66,327.22005,328.22732,17.314,"kps_psychoactive_substances_v2",NA,NA,NA,NA,6463445.59808674,NA,NA,NA
2680,"Butyryl trihexyl citrate","C28 H50 O8",-4.75,514.34812,515.3554,23.147,"mz_cloud",NA,NA,NA,NA,NA,10574904.1016336,NA,NA
2390,"CB-25","C25 H41 N O3",0,403.30864,404.31592,23.911,"kps_psychoactive_substances_v2",18584679.4330459,6283256.80753607,NA,NA,NA,NA,NA,NA
1693,"CB-86","C26 H43 N O3",0.08,417.32433,418.33161,20.167,"mz_cloud",NA,18740795.5008875,24026534.6835431,9704857.49472721,18764119.3822028,NA,2956951.57559372,12311823.580992
2318,"Calcipotriene","C27 H40 O3",0.08,412.29778,413.30505,24.115,"kps_pharmaceuticals_oct22",NA,NA,NA,4122704.42218771,NA,NA,NA,NA
1210,"Calcipotriene","C27 H40 O3",0.07,412.29777,413.30504,22.907,"kps_pharmaceuticals_oct22",NA,14872400.3407494,29344397.2270762,NA,NA,NA,NA,NA
555,"Calcitriol","C27 H44 O3",0.09,416.32908,417.33636,24.854,"kps_pharmaceuticals_oct22",23317869.0111374,NA,25842523.0309889,70254402.1145972,85132100.6700717,NA,12981796.3280786,NA
2315,"Calcitriol","C27 H44 O3",0.08,416.32908,417.33636,22.388,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,11924506.7832583
2333,"Calcitriol","C27 H44 O3",0.07,416.32907,417.33635,22.021,"kps_pharmaceuticals_oct22",NA,20644521.0590995,NA,NA,NA,NA,NA,NA
1744,"Calophyn","C20 H24 O4",0.67,328.16768,329.17496,16.202,"kps_pharmaceuticals_oct22",NA,15237596.9110319,NA,12318741.9645394,16186878.6655645,21957409.9128909,24826558.5175052,13085351.5116769
4734,"Calophyn","C20 H24 O4",0.82,328.16773,329.17501,21.749,"kps_pharmaceuticals_oct22",NA,NA,5365263.58770929,NA,NA,NA,NA,NA
3713,"Candesartan","C24 H20 N6 O3",0.04,440.1597,441.16698,16.746,"kps_pharmaceuticals_oct22",NA,NA,NA,6291562.51607643,7250434.31810235,5903474.28567101,7874290.51989343,7694366.82050419
1195,"Cannabidiolic acid","C22 H30 O4",0.25,358.2145,359.22178,16.797,"kps_cannabinoids",NA,34493739.6817146,NA,9958198.40918284,NA,NA,NA,NA
357,"Cannabigerol","C21 H32 O2",0.46,316.24038,317.24765,18.78,"kps_cannabinoids",NA,NA,NA,142764833.41715,6232591.94235004,NA,NA,NA
758,"Cannabigerol","C21 H32 O2",0.48,316.24038,317.24766,18.531,"kps_cannabinoids",NA,1020085.40035314,NA,NA,NA,NA,NA,44710501.1177106
3599,"Cannabigerol","C21 H32 O2",0.64,316.24043,317.24771,23.624,"kps_cannabinoids",NA,NA,6237233.22980265,NA,NA,NA,NA,NA
816,"Cannabigerolic acid","C22 H32 O4",0.33,360.23018,361.23751,18.037,"kps_cannabinoids",NA,NA,NA,67110707.1916999,NA,NA,NA,NA
2287,"Cannabigerolic acid","C22 H32 O4",0.28,360.23016,361.2375,17.513,"kps_cannabinoids",NA,NA,NA,NA,21224091.7889912,NA,NA,NA
1793,"Cannabigerolic acid","C22 H32 O4",0.33,360.23018,361.23748,17.49,"kps_cannabinoids",NA,NA,NA,NA,NA,NA,NA,29367437.9226132
1252,"Cannabigerolic acid","C22 H32 O4",0.22,360.23014,361.23747,18.273,"kps_cannabinoids",NA,44440963.7190469,NA,NA,NA,NA,NA,NA
3843,"Cannabinol monomethyl ether","C22 H28 O2",0.59,324.20912,325.2164,22.249,"kps_cannabinoids",NA,NA,NA,NA,NA,9053691.11085392,NA,NA
584,"Cannabinol monomethyl ether","C22 H28 O2",0.71,324.20916,325.21644,18.752,"kps_cannabinoids",NA,9910373.82615319,6434183.87693145,NA,NA,NA,NA,NA
2759,"Canrenone","C22 H28 O3",0.31,340.20395,341.21123,17.664,"kps_pharmaceuticals_oct22",NA,8951362.95494466,NA,NA,1048177.70923164,NA,NA,NA
5189,"Carazolol","C18 H22 N2 O2",0.68,298.16833,299.17561,19.504,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,3342860.04023187,NA,NA
5166,"Carazolol","C18 H22 N2 O2",0.51,298.16828,299.17556,20.073,"kps_pharmaceuticals_oct22",3481994.55298129,NA,NA,NA,NA,NA,NA,NA
4981,"Carazolol","C18 H22 N2 O2",0.33,298.16823,299.1755,18.897,"kps_pharmaceuticals_oct22",NA,4278795.33252496,NA,NA,NA,NA,NA,NA
2395,"Carbamazepine","C15 H12 N2 O",-0.01,236.09496,237.10224,14.847,"kps_pharmaceuticals_oct22",NA,7940232.06919849,15183092.8677045,NA,14063761.9064498,20030709.2977362,17424662.9047356,16995708.7011465
1055,"Carbetapentane","C20 H31 N O3",0.73,333.23064,334.23792,13.207,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,51918878.7748557,NA,NA
3870,"Carbetapentane","C20 H31 N O3",0.59,333.23059,334.23787,19.652,"kps_pharmaceuticals_oct22",2318147.38781771,NA,NA,NA,NA,NA,NA,NA
2642,"Carisoprodol","C12 H24 N2 O4",-0.06,260.17359,261.18087,19.087,"kps_psychoactive_substances_v2",3692818.22184136,NA,2902229.47132615,5118877.32502532,NA,4675218.44285633,3829984.07278288,NA
4190,"Carvedilol","C24 H26 N2 O4",0.17,406.18933,407.1966,14.27,"itn_cyp_metabolites",NA,NA,7843674.95906487,NA,NA,NA,NA,NA
4487,"Cediranib","C25 H27 F N4 O3",2.28,450.20774,451.21502,10.116,"kps_pharmaceuticals_oct22",NA,6258422.69606192,NA,NA,NA,NA,NA,NA
3442,"Cefaloglycin_BTM00313","C18 H19 N3 O7 S",-3.63,421.09284,422.10012,16.507,"itn_cyp_metabolites",NA,NA,9774496.79381965,NA,NA,NA,NA,NA
2575,"Cefrotil","C20 H22 N4 O4 S",4.11,414.13788,415.14515,13.291,"itn_kps",NA,NA,15064394.0537761,NA,NA,NA,NA,NA
4918,"Celecoxib","C17 H14 F3 N3 O2 S",0.02,381.07589,382.08317,18.605,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,3553784.70705624,NA,NA
909,"Cetaben","C23 H39 N O2",0.34,361.2982,362.30548,21.102,"mz_cloud",NA,6077172.9785583,NA,NA,NA,NA,NA,NA
2479,"Cetilistat","C25 H39 N O3",0.04,401.29301,402.30028,23.184,"kps_pharmaceuticals_oct22",18493298.7093654,NA,NA,6054818.6853691,NA,NA,NA,7758636.02287201
790,"Cetirizine","C21 H25 Cl N2 O3",0.15,388.15543,389.1627,17.623,"kps_pharmaceuticals_oct22",7752656.29583299,NA,68774825.7951091,6577862.24700022,8656350.70787386,NA,NA,NA
3765,"Cetirizine","C21 H25 Cl N2 O3",0.08,388.1554,389.16268,19.043,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,9858115.84073336,NA
2133,"Cetirizine","C21 H25 Cl N2 O3",0.22,388.15545,389.16273,16.162,"kps_pharmaceuticals_oct22",NA,6891489.09946145,NA,NA,NA,NA,NA,NA
11,"Cetrimonium","C19 H41 N",-0.17,283.32385,284.33113,21.675,"mz_cloud",1207750875.351,1680530684.85587,2472758504.81078,980353335.610462,1414209613.9374,3005890456.14847,2275999860.90273,1481881179.15432
2455,"Chlorphenesin","C9 H11 Cl O3",-0.91,202.03949,203.04676,20.675,"kps_pharmaceuticals_oct22",11132194.5952146,17651042.3406569,12668451.3918927,13542531.0826305,3565900.16049592,8469132.21545426,7899712.41130115,NA
3360,"Ciclesonide","C32 H44 O7",-3,540.30708,541.31436,15.971,"itn_cyp_metabolites",NA,NA,NA,NA,7134945.48558543,NA,NA,NA
132,"Cinchophen","C16 H11 N O2",0.18,249.07902,250.0863,22.318,"mz_cloud",54305825.9853762,288896524.285214,259781739.006265,134729780.995623,223449411.322114,180773360.365776,151058836.574126,164661776.123074
2867,"Cinitapride","C21 H30 N4 O4",-3.32,402.22537,425.21459,21.54,"kps_pharmaceuticals_oct22",15526092.1595228,NA,NA,NA,NA,NA,NA,NA
3841,"Cinnarizine","C26 H28 N2",0.03,368.22526,369.23254,19.483,"kps_pharmaceuticals_oct22",NA,NA,7051472.72237079,2978576.45727523,NA,2419601.10319739,NA,NA
625,"Ciprofloxacin","C17 H18 F N3 O3",0.7,331.13345,332.14073,11.652,"itn_kps",NA,NA,NA,58190810.7396905,NA,NA,NA,NA
427,"Ciprofloxacin","C17 H18 F N3 O3",0.74,331.13347,332.14074,12.312,"itn_kps",NA,47510675.0846386,NA,NA,NA,124652276.61073,NA,NA
730,"Cisatracurium besylate","C18 H28 O2",0.16,276.20897,277.21625,21.327,"kps_pharmaceuticals_oct22",NA,18142153.4109714,15614628.0890904,13268665.3027942,NA,NA,NA,NA
1539,"Cisatracurium besylate","C18 H28 O2",0.23,276.20899,277.21627,21.186,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,5905397.46413858,NA,NA
1116,"Cisatracurium besylate","C18 H28 O2",0.33,276.20902,277.21632,20.583,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,5858684.4831433,NA,NA,NA
1361,"Cisatracurium besylate","C18 H28 O2",0.27,276.209,277.21628,21.018,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,21095409.8890862
422,"Cisatracurium besylate","C18 H28 O2",0.05,276.20894,277.21622,20.097,"kps_pharmaceuticals_oct22",107729196.051425,NA,NA,NA,NA,NA,NA,NA
182,"Citalopram","C20 H21 F N2 O",0.72,324.16403,325.1713,13.162,"kps_pharmaceuticals_oct22",86359987.0202337,90923624.9114102,232009458.751922,93492164.9511138,105623824.439861,83109644.048056,80032032.530857,88003430.4459605
3617,"Clarithromycin","C38 H69 N O13",-0.06,747.47685,748.48413,19.488,"itn_kps",NA,NA,NA,4614432.42234387,NA,NA,NA,NA
2860,"Clobutinol","C14 H22 Cl N O",-0.07,255.13897,256.14625,19.716,"kps_pharmaceuticals_oct22",NA,15574828.0171909,10269363.5050353,6767020.62544534,9356063.59657364,NA,1922338.01423331,12640069.022291
754,"Clopidogrel","C16 H16 Cl N O2 S",0.7,321.05925,322.06653,17.989,"kps_pharmaceuticals_oct22",72904596.6650991,NA,NA,NA,NA,NA,NA,NA
2228,"Clopidogrel carboxylic acid","C15 H14 Cl N O2 S",0.42,307.04351,308.05078,11.51,"mz_cloud",NA,NA,NA,12526786.6913754,22001064.0502589,11208546.9164403,NA,NA
2172,"Clozapine","C18 H19 Cl N4",-1.97,326.12918,327.13646,19.153,"kps_pharmaceuticals_oct22",5309544.83992454,NA,NA,NA,NA,11351792.5654493,14869464.9304585,NA
3225,"Clozapine","C18 H19 Cl N4",-2.16,326.12912,327.1364,18.465,"kps_pharmaceuticals_oct22",NA,12898355.0677993,NA,NA,NA,NA,NA,NA
1881,"Clozapine","C18 H19 Cl N4",0.67,326.13004,327.13732,16.878,"kps_pharmaceuticals_oct22",NA,NA,27690996.0288549,NA,NA,NA,NA,NA
1708,"Codeine","C18 H21 N O3",0.4,299.15226,300.15954,16.482,"kps_psychoactive_substances_v2",27095657.1385919,18911028.1642764,NA,13317407.0862088,15141355.0237462,NA,NA,16108538.0861206
1537,"Codeine","C18 H21 N O3",0.45,299.15228,300.15955,10.549,"kps_psychoactive_substances_v2",NA,NA,19641120.799559,NA,NA,NA,NA,NA
2446,"Colchicine","C22 H25 N O6",0.21,399.16827,400.17554,18.09,"kps_pharmaceuticals_oct22",NA,NA,19542010.5515232,NA,NA,NA,NA,NA
782,"Concanamycin A_BTM01216","C45 H73 N O14",0.14,851.50322,852.5105,14.498,"itn_cyp_metabolites",38437928.6862314,NA,41204788.2805132,33728298.0823267,NA,NA,NA,NA
