"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","mass_list_name","lysimeter_control_op_260122","thailand_sample_8","landfill_eg_0_3y","landfill_eg_3_10y","landfill_eg_y104","landfill_op_y104","lysimeter_control_eg_171221","lysimeter_control_eg_250122","lysimeter_control_op_171221","lysimeter_eg_03y_171221","lysimeter_eg_03y_250122","lysimeter_eg_0_3y_14062022","lysimeter_op_10y_140622","lysimeter_op_10y_171222","lysimeter_control_op_140622","lysimeter_eg_3_10y_171221","lysimeter_op_0_3y_171221","thailand_sample_7","crh_fst1","crh_fst5","crh_inlet","lysimeter_eg3_104_140622","lysimeter_eg3_104_250122_20221003231510","lysimeter_op3_104_140622","crh_fst2","crh_fst3","crh_fst4","lysimeter_control_eg_140622","lysimeter_eg104_140622","lysimeter_eg3_104_250122","lysimeter_eg_104_171221","lysimeter_op0_34_140622","lysimeter_op_0_3y_250122","lysimeter_op_3_10y_171221","lysimeter_op_3_10y_250122","lysimeter_op_7104_250122","thailand_sample_1","thailand_sample_2","thailand_sample_3","thailand_sample_5","thailand_sample_6","thailand_sample_4"
2450,"Aminorex","C9 H10 N2 O",0.16,162.07934,163.08662,10.95,"kps_pharmaceuticals_oct22",NA,2158939.38643167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2579735.17188071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8146,"Amitriptyline-d3","C20 H20 [2]H3 N",-1.06,280.20158,281.20886,18.434,"mz_cloud",177551.805274406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3574,"Amlodipine","C20 H25 Cl N2 O5",2.44,408.1462,409.15347,16.363,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,1659144.1409453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8259,"Amlodipine","C20 H25 Cl N2 O5",1.55,408.14583,409.15311,9.955,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154923.95731607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7516,"Amobarbital","C11 H18 N2 O3",0.35,226.13182,227.1391,5.302,"kps_psychoactive_substances_v2",NA,NA,NA,322629.654830742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5798,"Amobarbital","C11 H18 N2 O3",0.38,226.13183,227.13911,6.651,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,100082.932998944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6048,"Amobarbital","C11 H18 N2 O3",0.4,226.13183,227.13911,1.301,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,NA,134043.504361549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133357.572266679,256917.172235788,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,"Amobarbital","C11 H18 N2 O3",0.33,226.13182,227.13909,8.004,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,NA,NA,5554903.56646446,6086490.48457399,NA,NA,NA,NA,NA,NA,15326113.1603085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389129.581257708,NA,NA,NA,NA,NA,NA,NA,NA
5065,"Amonafide","C16 H17 N3 O2",0.66,283.13226,284.13954,8.829,"kps_pharmaceuticals_oct22",NA,NA,643844.213351918,436936.631995046,176494.504455478,NA,578126.370953144,129495.424282506,NA,1003715.2145665,218251.180790046,170753.058519726,NA,423506.102932374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128310.149788112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4930,"Amylocaine","C14 H21 N O2",0.52,235.15735,236.16463,8.838,"kps_pharmaceuticals_oct22",NA,NA,1053092.24592146,NA,379537.584172494,NA,NA,117383.275200543,NA,NA,185304.187919709,NA,NA,NA,NA,461409.212973587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152918.832917448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2653,"Amylocaine","C14 H21 N O2",0.58,235.15736,236.16464,9.997,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,2379860.93298623,764621.505402171,NA,NA,1774015.39597532,NA,NA,NA,NA,NA,NA,NA,1188049.34486483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113371.975641622,NA,NA,NA,NA,NA,NA,NA,NA,NA
2169,"Amylocaine","C14 H21 N O2",0.44,235.15733,236.16461,19.206,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2925350.75644866,NA,212643.296983754,NA,NA,NA,NA,NA,NA,NA,NA,NA,169328.432921869,NA,NA,NA,1344793.10514551,NA,NA,336143.742737283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5555,"Amylocaine","C14 H21 N O2",0.57,235.15736,236.16464,6.311,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,105129.129993217,NA,NA,NA,NA,NA,NA,NA,124668.995769924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3120,"Analogue of pterin substrate","C16 H19 N5 O2",-3.61,313.15274,314.16002,7.491,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953460.714654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3328,"Analogue of pterin substrate","C16 H19 N5 O2",-3.73,313.15271,314.15998,6.373,"kps_pharmaceuticals_oct22",NA,1668835.9003219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3419,"Anastrozole","C17 H19 N5",-4.07,293.16285,294.17013,9.442,"kps_pharmaceuticals_oct22",NA,NA,NA,1420388.23694583,NA,1755099.93384824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7806,"Ancymidol","C15 H16 N2 O2",0.66,256.12135,257.12862,14.995,"mz_cloud",NA,NA,NA,NA,NA,NA,131272.313440294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5977,"Andrographolide","C20 H30 O5",-0.15,350.20927,351.21655,12.8,"kps_pharmaceuticals_oct22",NA,NA,729340.016368171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,"Andrographolide","C20 H30 O5",-0.55,350.20913,351.2164,14.951,"kps_pharmaceuticals_oct22",NA,NA,NA,3264939.67002748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2911,"Androsta-1,4-diene-3,17-dione","C19 H24 O2",0.73,284.17784,285.18511,14.343,"kps_psychoactive_substances_v2",NA,NA,NA,2129091.08059547,NA,NA,NA,NA,NA,992320.192623189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6813,"Angustmycin A","C11 H13 N5 O4",0.56,279.09691,280.10419,6.019,"kps_pharmaceuticals_oct22",NA,NA,NA,511157.828353504,NA,337796.675815184,127007.943354195,NA,147726.736588034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115239.437529854,NA,NA,NA,329923.326663414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3595,"Anilinomethyl gluco-phenylimidazole","C15 H19 N3 O4",0.38,305.13767,306.14497,8.801,"kps_pharmaceuticals_oct22",1144137.18725715,NA,NA,NA,NA,NA,NA,780733.432638847,837282.516677953,NA,875845.278518952,1019759.29840858,814637.570639424,NA,1159348.93602692,1186314.52787928,1021408.40982538,NA,1554567.97693651,1647896.74765197,1491558.0840673,1018506.99772324,1108021.65127596,1035392.65631323,1482588.32184249,1504419.14246608,1539819.01521139,1174409.2392539,1092259.74765307,1093711.76579245,1362536.32918704,1026881.94067088,918262.462305779,NA,1297581.34987262,1232171.1010496,761453.065489111,972816.590715683,939775.528219013,909631.470506849,884401.526344943,866091.157187263
2127,"Aniracetam","C12 H13 N O3",0.33,219.08962,220.09689,4.417,"kps_psychoactive_substances_v2",NA,NA,NA,1482912.76074587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2626,"Aniracetam","C12 H13 N O3",0.47,219.08965,220.09692,6.527,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,1685823.49436734,NA,1571345.7393712,2408306.73304396,NA,NA,NA,NA,NA,NA,394197.890093967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1273394.61537131,NA,NA,NA,NA,NA,NA,NA,NA
2924,"Anisindione","C16 H12 O3",0.39,252.07874,253.08602,11.202,"kps_pharmaceuticals_oct22",NA,2120928.83129814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1780854.427618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6233,"Anisodamine","C17 H23 N O4",0.44,305.16284,306.17012,7.122,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,416864.515711009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133880.849747758,NA,NA,NA,NA,662063.158136157,NA,395854.718621453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1697,"Anisodamine","C17 H23 N O4",0.44,305.16284,306.17012,6.449,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,3849099.79818928,304609.891530736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1477,"Anisomycin","C14 H19 N O4",0.62,265.13157,266.1388,14.105,"kps_pharmaceuticals_oct22",NA,NA,4424837.98878921,605987.952684002,518759.801146225,2031309.83871504,198465.136932575,NA,NA,NA,NA,NA,NA,382801.853296699,133252.605806714,NA,102762.368241191,NA,NA,NA,NA,NA,111477.078384297,NA,NA,NA,NA,NA,NA,NA,NA,112386.378334909,NA,171001.477765173,NA,NA,NA,NA,NA,NA,NA,NA
2851,"Anisomycin","C14 H19 N O4",0.64,265.13158,266.13885,12.62,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,2181949.40056922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1818,"Anisomycin","C14 H19 N O4",0.61,265.13157,266.13885,6.363,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269330.784033766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1501,"Anthranilic acid","C7 H7 N O2",0.4,137.04773,138.05503,1.291,"kps_psychoactive_substances_v2",724611.329391111,NA,NA,NA,NA,NA,NA,477338.961576673,2415457.96067319,NA,385637.364490303,NA,565730.286502822,794411.045592439,354532.722553254,680731.724053273,2332326.20854733,NA,NA,NA,4334597.03140917,711667.835480289,466261.242854952,760321.53807454,NA,NA,NA,536224.144485568,546854.910742491,804232.175778217,NA,653675.286831031,644540.78375376,2158435.11607225,NA,NA,NA,NA,239357.800193474,NA,NA,NA
2181,"Anthranilic acid","C7 H7 N O2",0.61,137.04776,138.05503,7.223,"kps_psychoactive_substances_v2",NA,2653924.5435542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2907786.0014132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,"Antroquinonol","C24 H38 O4",0.15,390.27707,413.26629,22.652,"kps_pharmaceuticals_oct22",13300727.7649412,14149314.024797,14990110.2296962,42603075.5054156,11538584.0930381,15890490.0277071,NA,14589571.5592942,14245446.8452809,NA,16248726.1452371,14817745.4039545,15872720.1782719,15173062.6706487,15428712.396433,13425373.9684822,15017673.375385,15332658.9804804,12905416.7962189,10615855.1928051,11658622.2205519,15018518.7482358,14626713.6047233,14691275.3299423,12286676.324602,13051202.8872109,10949644.2780167,13757925.1737559,13167486.6099905,13767467.844853,14409149.1192469,14964109.0906998,15300144.0817181,15823968.0474177,15592242.7342467,15949885.9526984,14785605.442205,15203311.9254035,13408275.2202288,15332794.6831041,14911329.305642,12666637.7949493
5326,"Apaziquone","C15 H16 N2 O4",0.6,288.11118,289.11846,8.805,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,242990.189315473,NA,NA,NA,NA,NA,NA,NA,NA,306539.766745776,NA,NA,NA,NA,NA,NA,NA,223270.570807786,248663.647879386,240815.375412966,315629.867258291,NA,325252.114587477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2843,"Apaziquone","C15 H16 N2 O4",0.71,288.11121,289.11849,9.451,"kps_pharmaceuticals_oct22",NA,1146784.31150306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7535,"Apigenin","C15 H10 O5",0.65,270.053,271.06024,15.634,"kps_pharmaceuticals_oct22",NA,NA,NA,317833.515880255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7442,"Apigenin","C15 H10 O5",0.79,270.05304,271.06031,4.675,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346402.916945128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8029,"Apomorphine","C17 H17 N O2",0.72,267.12612,268.1334,5.498,"kps_pharmaceuticals_oct22",NA,NA,202960.810810179,NA,NA,NA,158845.772337427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4776,"Apratastat","C17 H22 N2 O6 S2",-1.99,414.0911,415.09838,1.701,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,958604.976317129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2200,"Aprobarbital","C10 H14 N2 O3",0.16,210.10048,211.10775,4.719,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,2888569.36736599,NA,NA,NA,NA,NA,NA,NA,2578201.85195274,NA,NA,NA,147243.248500398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2580078.80172207,NA,NA,NA,NA,NA,NA,NA,NA
5208,"Aprobarbital","C10 H14 N2 O3",0.13,210.10047,211.10775,8.276,"kps_pharmaceuticals_oct22",NA,NA,959505.970636193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126369.351010124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6776,"Aprobarbital","C10 H14 N2 O3",0.14,210.10047,211.10775,7.299,"kps_pharmaceuticals_oct22",NA,NA,NA,518878.178267532,NA,466736.567186537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1573,"Aprobarbital","C10 H14 N2 O3",0.1,210.10046,211.10774,8.036,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,522332.29106579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6626,"Aprobarbital","C10 H14 N2 O3",-0.06,210.10043,211.10774,9.737,"kps_pharmaceuticals_oct22",NA,515856.531298374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555329.759128455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4104,"Arbekacin","C22 H44 N6 O10",4.89,552.31459,570.3484,14.732,"kps_pharmaceuticals_oct22",462198.226278024,NA,NA,NA,1286228.85590681,NA,NA,595810.370298379,851058.485481418,NA,404094.15921407,365936.733408435,656428.464406103,NA,607576.997936886,NA,NA,NA,NA,NA,NA,702049.536820853,472681.201179415,825994.141701973,NA,NA,NA,545208.775532001,1089445.53996584,1097528.67036438,NA,1385506.68220468,691480.709227827,461743.053813037,NA,NA,NA,NA,NA,NA,NA,NA
3751,"Arbutamine","C18 H23 N O4",0.15,317.16276,318.17003,6.529,"kps_pharmaceuticals_oct22",NA,NA,1557665.78043449,1448034.35263504,255318.795703968,NA,NA,NA,NA,619475.358746715,NA,NA,NA,129849.957959873,NA,192624.348334743,275030.976040019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2277,"Arecoline","C8 H13 N O2",0.23,155.09466,156.10194,7.402,"kps_pharmaceuticals_oct22",NA,NA,842542.928581933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183910.310050232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2198,"Arecoline","C8 H13 N O2",0.28,155.09467,156.10195,6.448,"kps_pharmaceuticals_oct22",NA,NA,NA,2890824.82859563,NA,1238477.8135207,NA,NA,NA,NA,NA,158455.894548784,NA,NA,NA,NA,NA,762560.00930781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1165,"Arecoline","C8 H13 N O2",0.28,155.09467,156.10195,4.926,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,1828882.91511483,NA,1759053.74044446,1185115.83892268,NA,NA,NA,NA,NA,NA,1620578.7540945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1436887.61871518,NA,NA,NA,NA,NA,NA,NA,NA
4810,"Arecoline","C8 H13 N O2",0.33,155.09468,156.10196,5.884,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226913.362322877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2330,"Arecoline","C8 H13 N O2",0.19,155.09466,156.10195,1.311,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234987.978351171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5846,"Arecoline","C8 H13 N O2",0.19,155.09466,156.10193,6.296,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,769631.693169906,NA,NA,NA,NA,NA,NA,NA,NA,NA
2337,"Artemisinin","C15 H22 O5",0.62,282.1469,283.15417,11.172,"kps_pharmaceuticals_oct22",335002.337678341,NA,NA,NA,NA,NA,NA,NA,1274264.91644684,NA,NA,NA,NA,273548.031336311,NA,NA,2709745.61275415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197339.138237016,579470.363040196,1166529.89076443,NA,348155.664103582,NA,NA,NA,NA,NA,NA
4522,"Artemotil","C17 H28 O5",0.47,312.19382,335.18304,16.134,"kps_pharmaceuticals_oct22",NA,NA,1199094.73185118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2900,"Asimadoline","C27 H30 N2 O2",-2.93,414.22951,415.23679,21.48,"kps_pharmaceuticals_oct22",2044263.32709511,1713085.73756366,1673553.44624164,1510159.73630288,1410068.2442205,1639158.15057404,1496079.48022673,1636442.66815818,1924114.3074629,1669592.22747969,2047603.27080192,2100361.9565348,1793084.01757434,2028560.34395448,2030907.34242972,1922185.15351374,2067064.29264548,1615277.18240212,1788106.75466018,1366982.93544689,1408173.71087754,1795484.6749944,1920324.47074497,1957413.56784288,1574227.22752732,2005787.23052808,1459559.64251662,1919748.56553398,2040920.07015692,2120288.91589178,1985309.10154063,2112402.60004,1775232.14981552,2045139.6006953,1932556.44349711,1961430.27018669,1967812.12985165,1725727.2920575,1599147.26217924,1711426.09773371,1651168.15851265,1623645.29195989
2549,"Astemizole","C28 H31 F N4 O",2.02,458.24912,459.25639,13.292,"kps_pharmaceuticals_oct22",NA,NA,2481433.72914564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7548,"Asymmetric dimethylarginine","C8 H18 N4 O2",0.07,202.14299,203.15027,1.271,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314929.286679161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4831,"Atagabalin","C10 H19 N O2",0.17,185.14161,186.14889,7.711,"kps_pharmaceuticals_oct22",NA,NA,1068216.62615716,NA,NA,NA,240195.919417978,NA,181524.253109298,410018.010673416,103074.713795753,NA,NA,433272.164530012,136178.434448668,229039.946335346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129932.064614799,NA,195322.59809251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,"Atenolol acid","C14 H21 N O4",0.57,267.14721,268.15446,7.679,"mz_cloud",NA,NA,8584103.80022826,26951651.2969301,NA,6522495.98437987,1790932.38687441,370747.49649298,NA,5943279.74938602,565699.910891336,420486.863526233,NA,596198.873921921,NA,NA,483779.133948691,NA,NA,NA,NA,NA,230063.941637239,NA,NA,NA,NA,304746.864083657,NA,NA,614272.175631405,136485.498031998,NA,281108.930735858,NA,NA,NA,NA,NA,NA,NA,NA
2973,"Atenolol acid","C14 H21 N O4",0.43,267.14717,268.15445,4.413,"mz_cloud",NA,1815057.20217528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2083364.41961101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,"Atevirdine","C21 H25 N5 O2",-3.78,379.19939,380.20667,10.031,"kps_pharmaceuticals_oct22",NA,NA,NA,17533450.1161281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Atovaquone","C22 H19 Cl O3",1.34,366.10276,367.11004,16.243,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,3221983.84012629,NA,2630897.90020684,NA,NA,NA,NA,NA,NA,NA,2354039.76841158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025608.97715486,NA,NA,NA,NA,NA,NA,NA,NA
4105,"Atreleuton","C16 H15 F N2 O2 S",-3.03,318.08286,319.09014,7.977,"kps_pharmaceuticals_oct22",NA,NA,648078.046723154,NA,NA,NA,NA,NA,NA,NA,1384866.87916759,1034348.64246994,NA,NA,NA,948356.666381191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634143.796118653,122143.697104579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3655,"Atreleuton","C16 H15 F N2 O2 S",4.55,318.08527,319.09255,9.158,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,834497.061216265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4327,"Atreleuton","C16 H15 F N2 O2 S",-3.06,318.08285,319.09013,6.381,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,1281658.90245406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149372.440757348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
