"","name","formula","category","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","mass_list_match_efs_hram_compound_database","mass_list_match_antibiotics_itn_msca_answer_160616_w_dtxsi_ds","psychoactive_substances","pharmaceuticals_oct22","mass_list_match_itn_kps","mass_list_match_clews_list","ms2","reference_ion","sc_001","sc_002","sc_003","sc_004","sc_005","sc_007","sc_008","sc_009","sc_010","sc_011","sc_012","sc_013","sc_014","sc_015","sc_016","sc_017","sc_018","sc_020","sc_023","count_2"
"298","5-Methoxyindole","C9 H9 N O","Industrial/Intermediate","Full match","Full match","No results",0.4275,147.068475,148.0757775,11.1025,2186034.8491363,4,77.925,48.85,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,174583.906634949,NA,NA,178716.76163113,NA,464273.970087191,2632194.36964126,NA,239618.328287739,NA,NA,3317843.3860636,2282523.3303982,675253.977684892,NA,254318.454507378,1176312.70935465,1368978.93357055,16
"299","5-Methyl-1,3-cyclohexanedione","C7 H10 O2","Industrial/Intermediate","Full match","Partial match","Full match",0.465,126.068135,127.07546,9.964,1836238.90330588,9,83.45,9.2,"No matches found","No matches found","No matches found","No matches found","No matches found","Multiple matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,NA,NA,421788.566564926,398473.725658242,NA,1264338.03799739,509547.342179523,NA,NA,NA,346524.323899258,NA,408486.719170425,6
"300","5-Phenylvaleric acid","C11 H14 O2","Natural products","Full match","Partial match","Full match",0.22,178.09942,179.10671,19.006,5965209.1414778,2,57.6,45.8,"No matches found","No matches found","No matches found","Multiple matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,1016994.89125005,NA,1338428.78890322,970144.942364714,446948.815370027,1230484.6702169,NA,NA,NA,169672.590578693,NA,NA,NA,6
"301","5-amino-1-phenyl-1H-pyrazole-4-carbonitrile","C10 H8 N4","Others","Full match","Full match","No results",0.27,184.07495,185.08222,12.054,840110.263301265,1,90.5,76.2,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,549967.256498078,NA,NA,416124.397366087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281646.551312007,NA,3
"302","5-hydroxy-4-methoxy-5,6-dihydro-2H-pyran-2-one","C6 H8 O4","Others","Full match","Full match","No results",0.41,144.04232,145.04965,10.029,642343.554049618,2,47.1,61.2,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,596954.582479987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"303","5-methoxy-N-(2-morpholinoethyl)-1H-indole-2-carboxamide","C16 H21 N3 O3","Others","Full match","Not the top hit","No results",0.47,303.15843,304.16572,14.31,622185.597679403,11,89.5,9.5,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,101773.03400304,NA,NA,NA,NA,NA,NA,NA,NA,578574.494587898,NA,NA,NA,NA,NA,2
"304","5-methyl-2-(methylthio)[1,2,4]triazolo[1,5-a]pyrimidin-7-ol","C7 H8 N4 O S","Others","Full match","Not the top hit","No results",0.23,196.04193,197.0492,9.728,1230551.11876438,2,51.7,62.6,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259194.307420877,1225645.92326656,469255.886083018,NA,NA,NA,228012.42662715,4
"305","5-{3-(Dimethylamino)-1-[5-hydroxy-4-(hydroxymethyl)-6-methyl-3-pyridinyl]propoxy}-5-oxopentanoic acid","C17 H26 N2 O6","Others","No match","Invalid mass","Full match",2,354.179795,355.187068333333,16.5871666666667,2065422.16317338,65,88.3666666666667,43.9833333333333,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",172155.688743624,NA,NA,NA,633991.900100522,528558.30653216,NA,NA,NA,NA,74734.9561907093,1349867.46984309,NA,NA,599267.48490059,NA,505810.034422086,NA,NA,8
"306","5F-PB-22","C23 H21 F N2 O2","Psychoactives","No match","Invalid mass","Full match",0.205,376.1587825,377.16606,14.2445,2575017.336956,55,74.825,17,"No matches found","No matches found","Single match found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",283557.836524177,202100.522977762,955870.182399476,232853.767190234,323657.774356033,1265981.86852866,219203.6318784,NA,321358.63677538,NA,286521.956544605,166749.971865784,722436.900446852,760659.274012737,457811.364695459,285237.758797396,289995.968747937,1811153.20752057,NA,21
"307","6-(3-Pyridyl)-1,3,5-triazine-2,4-diamine","C8 H8 N6","Others","Full match","Full match","No results",0.32,188.08111,189.08837,9.597,1285782.63513529,2,81.5,76.3,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,206306.396736133,NA,NA,NA,121517.856135576,NA,NA,NA,NA,NA,469916.677906896,579760.518604573,234050.677914919,NA,NA,856308.777589948,1176132.11494154,7
"308","6-Allyl-o-cresol","C10 H12 O","Pharmaceuticals","Full match","Partial match","Full match",0.49,148.08889,149.09617,21.45,2132680.82409837,5,71.6,45.1,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2085386.60382274,1438460.17776246,2
"309","6-Aza-Uridine Monophosphate","C8 H12 N3 O9 P","Pharmaceuticals","No match","Invalid mass","Full match",-2.21,325.0304,326.03767,8.956,1409033.40186978,3,82.7,9.1,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,1368902.40314521,NA,NA,878976.487676624,130052.043033636,NA,NA,NA,NA,NA,NA,NA,109590.656399773,NA,NA,NA,NA,4
"310","6-Benzyl-5-(4-phenylbutyl)-2,4-pyrimidinediamine","C21 H24 N4","Industrial/Intermediate","Not the top hit","Invalid mass","Full match",-4.015,332.19876,333.205965,18.253,24023118.3233945,30,87.55,72.25,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",NA,3841273.97162128,NA,NA,NA,NA,NA,NA,NA,NA,NA,3596030.58045741,NA,NA,NA,NA,NA,NA,NA,2
"311","6-Benzylamino-1-hexanol","C13 H21 N O","Industrial/Intermediate","Full match","No results","Full match",0.06,207.16233,208.1696,13.536,1327226.12436298,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",168963.913560589,NA,1251727.86004671,NA,548016.561091976,976997.918661383,671634.039712465,NA,NA,214583.437961116,NA,153302.072972866,NA,338522.906186545,NA,NA,245555.168090973,157741.93956332,331705.534824513,11
"312","6-Deoxyerythronolide B","C21 H38 O6","Pharmaceuticals","Not the top hit","Invalid mass","Full match",-0.07,386.26681,387.27376,20.249,955237.162001208,4,80.5,75.6,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,NA,940308.394253014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"313","6-Hydroxymelatonin","C13 H16 N2 O3","Natural products","Full match","Not the top hit","No results",0.3925,248.11619,249.123465,8.53225,7245077.32456496,19,62.125,41.275,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,1489003.76258932,NA,691425.396858966,NA,NA,4651309.77957323,466026.916462317,NA,NA,NA,2673504.11061118,NA,NA,NA,NA,5093096.64164771,9312568.17802056,11
"314","6-Methoxyquinoline","C10 H9 N O","Industrial/Intermediate","Full match","Full match","No results",0.3275,159.068465,160.075745,8.607,2170099.0693106,11,92.8,66.975,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",79401.1319750282,196931.156430799,845293.088483083,NA,NA,NA,304976.981851515,1816920.403388,185130.313156121,133954.281701724,NA,1002684.81944122,NA,NA,NA,NA,210646.782461453,750052.402270419,NA,13
"315","6-Methyl-2-pyridinemethanol","C7 H9 N O","Others","Full match","Full match","No results",1.00214285714286,123.068538571429,124.075822142857,7.69135714285714,1910350.09626197,70,89.7571428571429,66.2357142857143,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,344200.032821577,NA,135392.397262709,236772.470445723,1224262.24785921,NA,828721.476417175,629999.70120558,389601.78513755,179583.859699705,731412.512172285,NA,1859714.39598208,969635.382060525,101754.37948958,469624.951513647,1333494.80838738,1718857.19855429,34
"316","6-Methylquinoline","C10 H9 N","Industrial/Intermediate","Full match","Full match","No results",0.44,143.07356,144.08086,8.874,1085269.58282891,2,94.1,9.7,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,586690.436569554,NA,NA,224655.083401243,NA,NA,NA,1058892.75450297,NA,NA,91801.5605588616,NA,NA,NA,4
"317","6-Morpholinopurine","C9 H11 N5 O","Pharmaceuticals","Full match","Not the top hit","Full match",0.095,205.09638,206.10364,7.51,710526.97001046,7,47.8,40.6,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,164796.74723109,454025.203999124,NA,NA,NA,NA,NA,444958.994131363,633889.441950155,359218.087129663,NA,NA,616680.41697416,746375.949166776,9
"318","6-Phenyl-2-Thiouracil","C10 H8 N2 O S","Industrial/Intermediate","Not the top hit","Partial match","Full match",0.18,204.03577,205.04305,12.72,291489.981508312,3,75.5,47.4,"Single match found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234363.561353342,NA,1
"319","6-[(3E,5E,7S)-5,7-Dimethyl-2-oxo-3,5-nonadien-1-yl]-2,4-dihydroxy-3-methylbenzaldehyde","C19 H24 O4","Others","Full match","Not the top hit","No results",0.21,316.16753,317.1748,19.166,8813710.53301781,6,82.1,9.1,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,1033264.85706429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"320","6-beta-Hydrocortisol","C21 H30 O6","Natural products","No match","Partial match","Full match",-2.16333333333333,378.20342,379.2107,16.511,6851933.14907143,30,81.0333333333333,42.3666666666667,"Single match found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,218112.36997584,2345572.83916594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,845171.177929234,NA,NA,9211907.73545425,2749393.9738734,6
"321","6-hydroxymethylpterin","C7 H7 N5 O2","Pharmaceuticals","Full match","Invalid mass","Full match",0.58,193.06009,194.06736,7.067,130865.092522413,2,79.7,9,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,95264.5733646631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"322","6-methoxy-2,3,4,9-tetrahydro-1H-beta-carbolin-1-one","C12 H12 N2 O2","Others","Full match","Full match","No results",0.425,216.08997,217.09725,14.8655,6723278.70282795,6,72.35,47.3,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,331162.067639044,967303.27031644,NA,NA,NA,596974.047570221,5886609.60811189,NA,NA,NA,NA,5126687.73754209,3672865.30146337,628154.803140536,NA,NA,NA,3573707.91719654,10
"323","7-Hydroxycoumarine","C9 H6 O3","Natural products","Full match","Full match","No results",0.180769230769231,162.031723846154,163.039,15.979,94056370.017485,39,82.4538461538462,57.3,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",106857871.123655,46201734.8648625,151064684.126662,1217571.10095471,3843196.12484704,9797722.35468694,3524737.45704754,6158018.34404648,13826611.801822,6718311.25090202,2006297.47930111,12016463.9164188,5921094.24525028,482712.147736047,2606164.89186798,1940136.72912944,7498828.21387996,5393500.58628536,4405874.34916886,94
"324","7-hydroxy-staurosporine","C28 H26 N4 O4","Pharmaceuticals","No match","Invalid mass","Full match",0.63,482.19571,483.20299,20.448,10137058.0437564,2,74.7,8.7,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",50498.9322351517,NA,6570991.86475443,118703.670346144,NA,9606891.76851121,NA,NA,NA,NA,NA,NA,NA,85582.5188625801,182329.737207941,NA,NA,6246005.12779143,1039148.79887391,8
"325","7-hydroxyflavanone","C15 H12 O3","Pharmaceuticals","Not the top hit","Not the top hit","Full match",0.42,240.07874,241.08602,9.138,157351.650784689,6,84,9.2,"No matches found","No matches found","No matches found","Multiple matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,154532.826892473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"326","8-(4-Biphenylyl)-8-oxooctanoic acid","C20 H22 O3","Others","Not the top hit","Not the top hit","Full match",0.365,310.15701,311.1643,18.7205,2830841.61936616,16,93.05,9.65,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",NA,366625.83423451,448397.00901383,261528.416826245,NA,795922.668246132,460502.662709072,414631.361565344,398195.64790354,284550.663241948,NA,481424.649641788,NA,NA,232492.886741808,232935.978076334,233321.320645081,NA,207367.536540788,14
"327","8-Ethyl-1-undecanamine","C13 H29 N","Others","Full match","No results","Full match",0.05,199.23001,200.23729,18.46,2697967.08281045,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Multiple matches found","DDA for preferred ion","[M+H]+1",658104.219374093,NA,NA,899727.370573664,954810.699070792,NA,NA,NA,NA,NA,744856.555378361,NA,NA,NA,NA,NA,NA,NA,NA,4
"328","8-Hydroxyquinoline","C9 H7 N O","Pharmaceuticals","Full match","Full match","Full match",0.604,145.052852,146.060126,9.9422,2789887.2470133,19,89.8,30.32,"No matches found","Single match found","No matches found","Multiple matches found","Single match found","No matches found","DDA for preferred ion","[M+H]+1",469778.810277569,401554.216206059,3264027.91230675,111320.747543168,563038.069528265,1109023.19994596,NA,1330761.25226258,1108626.17240816,1522532.44610536,379655.485057831,1934494.90065515,889388.281534012,NA,NA,175372.826101343,406363.598719108,978492.568078872,1601296.63066116,26
"329","8-{3-Oxo-2-[(2E)-2-penten-1-yl]-1-cyclopenten-1-yl}octanoic acid","C18 H28 O3","Others","Full match","Not the top hit","No results",0.565,292.20401,293.21127,20.5815,4002757.44988178,11,85.3,43.25,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,914457.060701061,3494813.21796908,NA,NA,NA,NA,NA,NA,NA,NA,NA,2367178.73005141,2974589.30662773,NA,NA,NA,NA,NA,5
"330","9-Aminoacridine","C13 H10 N2","Pharmaceuticals","Full match","Full match","No results",1.09,194.08461,195.09171,8.046,552511.546728678,5,80.6,62.5,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,102668.726970033,NA,NA,NA,NA,NA,542013.871576578,NA,NA,NA,NA,135534.38027914,NA,NA,NA,NA,NA,NA,3
"331","9-Aminocamptothecin","C20 H17 N3 O4","Pharmaceuticals","Unused","Invalid mass","Full match",-0.27,363.12181,364.12908,11.123,568667.192205941,2,46.4,7.3,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,42484.3580063565,NA,NA,NA,NA,NA,87893.1246815819,NA,NA,NA,NA,NA,NA,NA,NA,2
"332","9-Methylguanine","C6 H7 N5 O","Pharmaceuticals","Full match","Partial match","Full match",0.16,165.065085,166.072365,4.746,1674701.46649047,4,93.6,9.65,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,130825.61614379,NA,NA,1657481.45929305,NA,NA,NA,NA,NA,172584.518283358,NA,156181.578330467,NA,NA,74572.9559347774,NA,NA,6
"333","9-Oxoageraphorone","C15 H22 O2","Pharmaceuticals","Not the top hit","Partial match","Full match",0.451111111111111,234.162085555556,235.169368888889,16.787,9207882.45441721,69,76.3444444444444,61.7333333333333,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",846619.290635502,NA,NA,561196.978370118,NA,2183407.48980399,4297302.47655462,NA,1258126.53215136,1508901.7445113,1156579.5735625,3338944.40011665,3527766.30262663,954777.470628117,1282230.97269479,818714.210861672,1226347.69017787,1969774.92568095,NA,19
"334","9-Sulfonatooctadecanoate","C18 H34 O5 S","Others","Not the top hit","Invalid mass","Full match",-0.09,362.21266,363.21998,21.272,17896617.1450789,8,47.3,40.5,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",NA,NA,NA,17431863.2580623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"335","9-n-phenylmethylamino-tacrine","C20 H20 N2","Pharmaceuticals","Not the top hit","Not the top hit","Full match",-4.15666666666667,288.16145,289.168753333333,21.5496666666667,4236121.30415268,12,73.5333333333333,26.3666666666667,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,98368.8469411296,NA,NA,NA,10741794.4862113,NA,NA,NA,NA,NA,NA,96181.0523453371,NA,NA,NA,85022.2924375735,NA,NA,6
"336","AB-CHMINACA metabolite M4","C15 H18 N2 O2","Psychoactives","Full match","Full match","No results",0.33,258.13691,259.14418,12.006,1634118.14536675,3,78.7,74.3,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,815474.664245918,NA,NA,NA,NA,NA,1
"337","AB-FUBINACA metabolite 2B","C20 H19 F N4 O4","Psychoactives","No match","Invalid mass","Full match",-4.21,398.13736,399.14463,8.147,192607.781163494,5,39.9,7,"No matches found","No matches found","Single match found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,128353.858268407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"338","AH 7921","C16 H22 Cl2 N2 O","Psychoactives","No match","Partial match","Full match",-4.52,328.10944,329.11672,7.008,2023525.91935296,11,54.1,7.7,"No matches found","No matches found","Multiple matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,1970325.23816155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"339","ALGINIC ACID","C14 H22 O12","Pharmaceuticals","No match","Invalid mass","Full match",4.125,382.112705,383.12,19.029,1389837.56015974,14,91.8,9.6,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,2268212.74883099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30885.016928372,NA,NA,2
"340","ALK","C15 H30 N4 O4","Others","Full match","Not the top hit","No results",0.195,330.22677,331.23405,2.813,4518704.06991157,16,74.45,8.7,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,NA,1413773.41317376,NA,NA,NA,NA,3869479.75235561,NA,NA,NA,NA,NA,1604893.85772612,3
"341","AM-1235","C24 H21 F N2 O3","Psychoactives","No match","Not the top hit","Full match",2.215,404.154515,405.1618,21.06,6233465.11802912,34,86.2,9.3,"No matches found","No matches found","Single match found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",844251.274085495,207766.68112098,NA,421437.34139194,NA,NA,659813.835803924,NA,NA,NA,807360.988651055,NA,3636297.17508986,NA,436589.364219603,604723.697613595,611195.708459366,NA,7952816.1490755,10
"342","AM-2232","C24 H20 N2 O","Psychoactives","No match","Not the top hit","Full match",-3.555,352.1563125,348.6609125,20.596,1182912.13533043,36,89.3,9.475,"No matches found","No matches found","Single match found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H-H2O]+1",NA,NA,NA,NA,NA,723943.223020397,NA,NA,NA,284595.898720897,NA,353152.263830704,692770.396648466,NA,346360.129524065,NA,NA,NA,485032.912492399,7
"343","ANDROSTENONE","C19 H28 O","Pharmaceuticals","Full match","Invalid mass","Full match",0.35,272.21411,273.22138,19.944,3876081.7746512,4,84.05,9.2,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",NA,NA,5044736.92763225,NA,NA,NA,NA,NA,NA,NA,NA,1871388.69659032,4619517.23274009,3263729.81195918,1171400.41119535,NA,NA,7046121.19355293,2738613.65518066,8
"344","APP-FUBINACA","C24 H21 F N4 O2","Psychoactives","No match","Not the top hit","Full match",2.85,416.16604,417.17332,12.117,595007.043040298,11,94.6,9.7,"No matches found","No matches found","Single match found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96513.4279479498,448676.719037035,NA,NA,2
"345","Abacavir","C14 H18 N6 O","Pharmaceuticals","Full match","Full match","Full match",1.31888888888889,286.154586666667,287.161863333333,18.1262222222222,104713010.495032,58,86.8888888888889,51.5222222222222,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,68464.2998910637,NA,NA,4940610.90937395,NA,172159.079282512,237593.601770793,NA,NA,109008.501411524,357500.748180892,NA,NA,390836.10251869,370348.374426746,NA,11
"346","Abafungin","C21 H22 N4 O S","Pharmaceuticals","No match","Invalid mass","Full match",-2.2,378.150596666667,379.157886666667,7.53633333333333,965690.676519095,16,85.4666666666667,9.26666666666667,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,144679.027750352,NA,NA,NA,NA,NA,996406.309515041,NA,NA,NA,NA,NA,430065.92087347,65118.7190161334,NA,NA,NA,NA,4
"347","Abamectin","C48 H72 O14","Pesticides","No match","Invalid mass","Full match",1.88,872.49385,437.2542,13.934,2202280.7109072,6,83.2,9.2,"Single match found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for other ion","[M+2H]+2",NA,NA,NA,NA,NA,NA,1091811.09409127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"348","Acebutolol","C18 H28 N2 O4","Pharmaceuticals","Not the top hit","Not the top hit","Full match",0.34,336.20502,337.2123,10.725,306550.373420059,4,90.8,58.9,"Single match found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",286535.809645379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"349","Acepromazine","C19 H22 N2 O S","Pharmaceuticals","No match","Full match","Full match",0.94,326.14559,327.15287,8.316,869868.258708357,16,67.55,44.9,"Multiple matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,457155.228407884,NA,NA,604015.090545294,387852.173089791,NA,176297.608689671,437062.054470664,206382.878056738,306351.361733142,510323.705294051,NA,245043.868447037,74222.5074955976,176746.720465116,NA,NA,15
"350","Acetalozamide","C4 H6 N4 O3 S2","Pharmaceuticals","Not the top hit","No results","Full match",0.46,221.98823,222.99551,7.002,340936.483347493,0,NA,NA,"Single match found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,128655.605905889,NA,NA,314409.195773895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123998.606610685,NA,3
"351","Acetamiprid-metabolite-IM-2-1","C9 H9 Cl N4","Pesticides","Full match","Invalid mass","Full match",0.17,208.05161,209.05889,10.536,500117.975401774,1,42.4,43,"Multiple matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,492522.592375265,280199.762384322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320606.55954191,NA,3
"352","Acetohexamide","C15 H20 N2 O4 S","Pharmaceuticals","Not the top hit","Invalid mass","Full match",0.285,324.11447,325.121785,13.263,983373.308912877,25,83.55,38.3,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,1441475.44421299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134487.26197236,2
"353","Acetomycin","C10 H14 O5","Pharmaceuticals","Not the top hit","Invalid mass","Full match",0.35,214.0842,237.07348,8.688,269084.772467736,8,85.6,53.3,"No matches found","Single match found","No matches found","Single match found","Single match found","No matches found","DDA for other ion","[M+Na]+1",NA,NA,NA,NA,NA,NA,NA,NA,217446.512649096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"354","Acetyl sulfamethoxypyrazine","C13 H14 N4 O4 S","Pharmaceuticals","No match","No results","Full match",-2.655,322.07272,323.07997,12.1785,339909.318298095,10,91.5,9.6,"No matches found","Single match found","No matches found","Single match found","Single match found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,563827.392261385,NA,NA,458272.83786358,NA,NA,NA,NA,NA,NA,NA,NA,90726.4753874109,NA,NA,NA,NA,3
"355","Acetylcholine","C7 H15 N O2","Natural products","Full match","Full match","No results",0.49,145.11035,146.11764,2.633,575745.386158502,1,49.7,7.5,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,132538.57010791,170655.433887532,528173.030793548,81239.8722873477,152422.468396839,NA,NA,NA,NA,NA,NA,64138.6639238806,77031.2855848894,75907.2493262296,NA,NA,NA,NA,8
"356","Aclonifen","C12 H9 Cl N2 O3","Pharmaceuticals","No match","Invalid mass","Full match",2.08,264.03072,265.03796,13.725,1210986.04976841,4,80.1,9,"Single match found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",1002665.76623093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"357","Aconitine","C34 H47 N O11","Natural products","No match","Full match","Full match",-4.24,645.31218,646.31945,19.867,417517.870236077,1,87,9.3,"Single match found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,393642.777158665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"358","Adefovir","C8 H12 N5 O4 P","Pharmaceuticals","Not the top hit","Full match","Full match",-4.79,273.06138,274.06867,15.252,2249815.92870226,1,73.4,52.7,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,NA,2208684.40005928,NA,NA,NA,NA,1834867.70159282,1515723.14493005,NA,NA,NA,481100.978082462,1083990.3801164,5
